T7_theta,T7_mu,T7_beta,T8_theta,T8_mu,T8_beta,theta_diff_T7_T8,mu_diff_T7_T8,beta_diff_T7_T8,theta_asym_T7_T8,mu_asym_T7_T8,beta_asym_T7_T8,T7_mu_beta_ratio,T8_mu_beta_ratio,label,file
0.0871458768012311,0.1540771596998638,0.15093720230332772,0.12995156269161617,0.15806639994336352,0.21312465240563508,-0.04280568589038507,-0.003989240243499725,-0.06218745010230736,-0.19717267978219796,-0.012780145521047677,-0.17081561165990583,1.020803003769713,0.7416617024008209,derecha,abrir-cerrar_mano_derecha.01.csv
0.17210867851769598,0.10758114962091027,0.1904574687690732,0.07171807608686978,0.1647174096840054,0.17453883766096315,0.1003906024308262,-0.05713626006309512,0.015918631108110065,0.4117292151812703,-0.20982945378282483,0.0436131281099145,0.5648565250165407,0.9437292149651657,derecha,abrir-cerrar_mano_derecha.02.csv
0.1544646522061357,0.14269963538048308,0.19031869175138108,0.19049738732711716,0.13868531398612144,0.22318617271375776,-0.03603273512098146,0.004014321394361642,-0.03286748096237668,-0.10445420059897938,0.014266296974073703,-0.07948511128167517,0.7497930264724894,0.6213884403587343,derecha,abrir-cerrar_mano_derecha.03.csv
0.1425234338372812,0.056157586846514916,0.036021480562529094,0.12848709493501162,0.07105175252312358,0.0348932153620884,0.014036338902269574,-0.014894165676608666,0.0011282652004406951,0.05179259436129574,-0.11708389163543281,0.01591017244913973,1.5590023058327338,2.036262104916261,derecha,abrir-cerrar_mano_derecha.04.csv
0.146726428115896,0.20581699743111995,0.16769990658720976,0.10093133282275309,0.2000857281572889,0.20350468610838443,0.04579509529314292,0.005731269273831052,-0.03580477952117467,0.18491281383812297,0.014119809430510074,-0.09645564538038966,1.2272933798633585,0.9831995623861445,derecha,abrir-cerrar_mano_derecha.05.csv
0.05359070130369049,0.12463955136291639,0.32885290189121313,0.12880864668657568,0.1512549241314336,0.23526094370652462,-0.0752179453828852,-0.026615372768517206,0.09359195818468852,-0.4123805380219554,-0.09646939017584047,0.1659096958104637,0.3790130689314013,0.6429240456115637,derecha,abrir-cerrar_mano_derecha.18.csv
0.12122934788282726,0.1079265006671372,0.21317627274410042,0.13501229769207443,0.1255944093251824,0.38909561748284377,-0.013782949809247172,-0.017667908658045198,-0.17591934473874335,-0.053788872766700864,-0.07565878319863714,-0.2920928980290373,0.5062781810333637,0.32278545543593956,derecha,abrir-cerrar_mano_derecha.19.csv
0.07678457850507539,0.08080355021907329,0.4201096133281386,0.16494025351944847,0.0891723508459804,0.40549276173612964,-0.08815567501437307,-0.008368800626907105,0.014616851592008984,-0.36469431224379234,-0.04923521559301526,0.01770446870847054,0.1923392032273428,0.21991107378853206,derecha,abrir-cerrar_mano_derecha.20.csv
0.07994379911004822,0.07804911636018588,0.32103753247793915,0.12001257282905688,0.1003076415436283,0.43813245636083104,-0.04006877371900866,-0.022258525183442415,-0.11709492388289189,-0.20038757118145517,-0.12479776038241618,-0.15424071559993255,0.2431152311899759,0.22894363975532991,derecha,abrir-cerrar_mano_derecha.21.csv
0.1844195302126659,0.0452310119132035,0.0541666146545872,0.2597392237231135,0.0463280066865332,0.0474655202621161,-0.07531969351044757,-0.0010969947733297028,0.006701094392471102,-0.16957831214006616,-0.011981284534214222,0.06593479255961048,0.8350347137491985,0.9760347441753792,derecha,abrir-cerrar_mano_derecha.22.csv
0.26864571720597713,0.16725208629570834,0.1659201355597402,0.21762022559931418,0.2057109608335946,0.1018746114087974,0.05102549160666295,-0.03845887453788627,0.06404552415094279,0.10493330103062834,-0.10311711522825952,0.2391589920428028,1.0080276010575737,2.019256199324932,derecha,abrir-cerrar_mano_derecha.23.csv
0.11417725513943207,0.19340677687360622,0.1781920920931828,0.10810437096900653,0.186571684640531,0.23048802893450537,0.006072884170425535,0.006835092233075213,-0.05229593684132258,0.027320674243476055,0.017988103920305684,-0.1279630030210094,1.085383552927992,0.8094636298829655,derecha,abrir-cerrar_mano_derecha.24.csv
0.12157500566014569,0.0875029596218513,0.12104692268234986,0.055919748108423116,0.08045479342888902,0.10152495535891377,0.06565525755172258,0.00704816619296228,0.019521967323436085,0.3698996869413506,0.041963920362722486,0.087710840282834,0.7228845678516752,0.792463145832782,derecha,abrir-cerrar_mano_derecha.25.csv
0.13886172160382199,0.21472841236997167,0.308313336445774,0.1671223720898478,0.18187896126238892,0.22761862338717498,-0.0282606504860258,0.03284945110758275,0.08069471305859904,-0.09235986492395834,0.08282612090256215,0.15056894830094147,0.6964616188217398,0.7990512839650358,derecha,abrir-cerrar_mano_derecha.26.csv
0.17088927869423245,0.0850330697208912,0.1838159626496553,0.19154373228238472,0.1141340704011542,0.17360435938511867,-0.020654453588152266,-0.029101000680263,0.010211603264536628,-0.05698833272006089,-0.14611345627243513,0.028570292032360167,0.46259891616143867,0.6574377753589983,derecha,abrir-cerrar_mano_derecha.27.csv
0.10113797266177406,0.09596207909878897,0.3965618089685155,0.07496625240421091,0.06258588715277438,0.28214555199320174,0.026171720257563147,0.033376191946014586,0.11441625697531377,0.14861493959958882,0.2105116238952024,0.16857965873154993,0.24198516979872878,0.22182127094482665,derecha,abrir-cerrar_mano_derecha.28.csv
0.09533266309480302,0.1614567591373468,0.22883079844380724,0.10640171185051918,0.16845322228143542,0.20579470451969492,-0.011069048755716154,-0.0069964631440886105,0.023036093924112322,-0.05486942029598124,-0.021207187796890386,0.053002166778108095,0.7055726466001403,0.8185497993696731,derecha,abrir-cerrar_mano_derecha.29.csv
0.23715253800813094,0.08940277626142458,0.11888345985326464,0.2664185872435411,0.13848674940096278,0.1151302833510599,-0.02926604923541018,-0.0490839731395382,0.003753176502204733,-0.05811701105700538,-0.21538493637660872,0.016038273181866024,0.7520202461433246,1.2028697692855124,derecha,abrir-cerrar_mano_derecha.30.csv
0.06071241166475908,0.1272355086064854,0.3325082757555355,0.1027281580361344,0.2219051309347233,0.2132101691114228,-0.04201574637137532,-0.09466962232823792,0.1192981066441127,-0.25707046835165887,-0.27115038725121055,0.21860742582582549,0.38265364821624515,1.0407811290227216,derecha,abrir-cerrar_mano_derecha.31.csv
0.07725769170621269,0.16126939310372376,0.2138692183655071,0.1273816283124163,0.13032519241804014,0.3741699771462619,-0.05012393660620362,0.030944200685683626,-0.16030075878075478,-0.24493794326652982,0.10612062487068294,-0.2726021620297331,0.7540560852826893,0.348304772950954,derecha,abrir-cerrar_mano_derecha.32.csv
0.07568436061782312,0.17222501186025443,0.28277430701993034,0.057314551596058395,0.2874575450192611,0.2961423290822375,0.018369809021764723,-0.11523253315900664,-0.013368022062307139,0.13811998410200205,-0.2506784930767442,-0.023091445292364135,0.6090546470955344,0.9706735818664394,derecha,abrir-cerrar_mano_derecha.33.csv
0.18077628343018606,0.14093115654324823,0.17867251387981173,0.15797691359350532,0.09568524910848879,0.2932079107265614,0.02279936983668074,0.04524590743475944,-0.11453539684674965,0.06730377562177949,0.19122049207842984,-0.24272122437602495,0.7887679285151246,0.3263392369189185,derecha,abrir-cerrar_mano_derecha.34.csv
0.1315288088803057,0.12962805325998203,0.3569223260380463,0.16126197862892558,0.3020109527625196,0.2129198834934655,-0.029733169748619892,-0.17238289950253757,0.1440024425445808,-0.10155090256100842,-0.39936820607882945,0.2527058150639847,0.36318279965018574,1.4184252481405093,derecha,abrir-cerrar_mano_derecha.35.csv
0.0993394119108429,0.096784739886822,0.3153427961306794,0.09490555454272741,0.23000856493693347,0.3774395861980126,0.004433857368115496,-0.1332238250501115,-0.06209679006733321,0.022826110868176326,-0.40766998285127437,-0.08963390345214094,0.30691913056267406,0.6093917205662392,derecha,abrir-cerrar_mano_derecha.36.csv
0.22025587868561539,0.0935810861475419,0.3404967475659651,0.15327951112817523,0.1878589581649428,0.3184175573818955,0.06697636755744016,-0.0942778720174009,0.02207919018406962,0.17930393636273356,-0.3349838467296612,0.033508439084096585,0.27483693770391415,0.5899767393789344,derecha,abrir-cerrar_mano_derecha.37.csv
0.2364826233064319,0.13682129569772164,0.15885221329955554,0.2467644616136044,0.16224660325383747,0.19751211380787873,-0.010281838307172497,-0.025425307556115828,-0.038659900508323186,-0.021276565167709597,-0.08501516476725705,-0.10848420137132933,0.861311808269192,0.8214513627105532,derecha,abrir-cerrar_mano_derecha.38.csv
0.08134584071060039,0.06999019651872619,0.0908057873315401,0.08233414627066139,0.1798826062260324,0.1328262668609348,-0.0009883055600610063,-0.1098924097073062,-0.042020479529394694,-0.006038035057968313,-0.43979338328239687,-0.18790006558821837,0.7707679308534203,1.3542697309385867,derecha,abrir-cerrar_mano_derecha.39.csv
0.1251957684052838,0.12136851136541528,0.31013473925050666,0.08964716774721491,0.1101303329012744,0.4292056905228658,0.03554860065806888,0.01123817846414088,-0.11907095127235912,0.16546319669641818,0.04854528762027631,-0.16105023459674075,0.39134122073944605,0.2565910302848069,derecha,abrir-cerrar_mano_derecha.40.csv
0.046965537427677,0.038384376583221406,0.0338347512490842,0.1787666445052074,0.06284634057498971,0.27089188370343004,-0.1318011070775304,-0.024461963991768303,-0.23705713245434584,-0.5838826352101256,-0.2416456413825545,-0.7779337198796207,1.1344657141406709,0.23199786348643311,derecha,abrir-cerrar_mano_derecha.41.csv
0.061924925177055605,0.024479667032162502,0.0775231186435791,0.1829995366743917,0.07784868718489948,0.2268101823452731,-0.12107461149733609,-0.05336902015273698,-0.14928706370169398,-0.4943344802669241,-0.5215466949078656,-0.4905380328450552,0.31577243411718325,0.3432327550183038,derecha,abrir-cerrar_mano_derecha.42.csv
0.272433565014702,0.060093007274323686,0.16326173690478998,0.1640414770283145,0.16312003225834854,0.2504051077001273,0.1083920879863875,-0.10302702498402486,-0.08714337079533732,0.24833512815688946,-0.46156362811101936,-0.21066075230650455,0.36807769372557536,0.6514245146287024,derecha,abrir-cerrar_mano_derecha.43.csv
0.1704222550603827,0.0853020842293535,0.2614828638214366,0.13341436160509007,0.3134932153536858,0.17971705235245058,0.03700789345529262,-0.2281911311243323,0.08176581146898601,0.12180194949320146,-0.5722011408883362,0.18532598628939978,0.3262243640767281,1.7443709086390542,derecha,abrir-cerrar_mano_derecha.44.csv
0.30371764616545194,0.11559702207200832,0.12016849927256662,0.3453519567865264,0.0870322103528316,0.11069518098252694,-0.04163431062107448,0.028564811719176728,0.009473318290039681,-0.06414459988616784,0.14097082621118767,0.041034249602317746,0.9619576940062623,0.7862329842907945,derecha,abrir-cerrar_mano_derecha.45.csv
0.1085875151063745,0.11089802056899807,0.22975447393700424,0.104620852936006,0.1316440321825609,0.198832912279207,0.003966662170368507,-0.020746011613562834,0.030921561657797247,0.018604626172710876,-0.08553572678572219,0.0721476224704427,0.4826805495530825,0.6620836764532512,derecha,abrir-cerrar_mano_derecha.46.csv
0.14091899998179416,0.16167218091896912,0.1990597837173069,0.1366805723207241,0.2577477973419438,0.1883787775517045,0.004238427661070077,-0.09607561642297469,0.010681006165602386,0.015268134144565057,-0.22906780580807212,0.02756825715781976,0.8121789835096811,1.368242150253778,derecha,abrir-cerrar_mano_derecha.47.csv
0.17661670733044013,0.15779669348078082,0.1962465358009465,0.1483025656448658,0.20061648088897052,0.1934084007824306,0.028314141685574334,-0.0428197874081897,0.0028381350185159027,0.08714207856886791,-0.1194704583300578,0.007283713560937966,0.8040737371287774,1.0372686486455258,derecha,abrir-cerrar_mano_derecha.48.csv
0.2220119617002698,0.11913325892245473,0.2425783423507335,0.1739034715728549,0.17185012908471256,0.17424919801453634,0.04810849012741489,-0.05271687016225783,0.06832914433619716,0.121512032290761,-0.1811679653316831,0.16392665090471997,0.491112491151746,0.9862319091308372,derecha,abrir-cerrar_mano_derecha.49.csv
0.0713879405281387,0.0953252882629717,0.4172145672940939,0.058137399573291,0.13359895131125202,0.2973148702789307,0.013250540954847699,-0.038273663048280324,0.11989969701516318,0.1023007538251884,-0.16718920393739645,0.16780231720668093,0.22848024362240116,0.44935171487519904,derecha,abrir-cerrar_mano_derecha.50.csv
0.06622674715440859,0.16228890262012902,0.3326145289652471,0.06657735980182049,0.3705248639964886,0.2533515913456044,-0.000350612647411902,-0.20823596137635958,0.0792629376196427,-0.0026400736321108213,-0.3908231553220409,0.13526880397949653,0.4879188478200756,1.462492686166387,derecha,abrir-cerrar_mano_derecha.51.csv
0.23108422727754221,0.30859857754608566,0.2069441542195367,0.12402138807276258,0.1557260038785315,0.17682084111637744,0.10706283920477963,0.15287257366755416,0.03012331310315927,0.3014957566475164,0.32923643608562336,0.0784941635748991,1.4912166221740317,0.8806993230455494,derecha,abrir-cerrar_mano_derecha.52.csv
0.24475637445504791,0.11506758403972929,0.1740184812195709,0.22360004112223694,0.1639851718508285,0.1483936868778075,0.021156333332810973,-0.048917587811099214,0.0256247943417634,0.04517143819844937,-0.17529870257686067,0.07947836987107827,0.661237683612259,1.105068310184762,derecha,abrir-cerrar_mano_derecha.53.csv
0.1914949143275512,0.13102268179871832,0.17143047407213843,0.234106300036979,0.10661453265171007,0.17420363539337372,-0.042611385709427796,0.024408149147008243,-0.0027731613212352846,-0.10012044907307614,0.10271180873895383,-0.00802340152506846,0.7642904499037849,0.6120109163672268,derecha,abrir-cerrar_mano_derecha.54.csv
0.11588247711837958,0.08144247032474392,0.17826537962708253,0.14271411009960852,0.2002811807541596,0.12816895380051446,-0.02683163298122894,-0.11883871042941568,0.050096425826568064,-0.10375864674897786,-0.421827225921688,0.1634817601259,0.45686081013883456,1.562634001363095,derecha,abrir-cerrar_mano_derecha.55.csv
0.2526644235927406,0.14996187354987153,0.17336629874918283,0.1749100424766463,0.23785895407985122,0.1990093218105857,0.07775438111609431,-0.08789708052997969,-0.02564302306140287,0.1818499126301363,-0.22664352196026308,-0.06886332229328582,0.8650000950693852,1.1952150781865951,derecha,abrir-cerrar_mano_derecha.56.csv
0.14263751165967492,0.26189040229876964,0.2767382274559688,0.2198991390016789,0.17009308251955543,0.232582406009036,-0.07726162734200398,0.09179731977921421,0.04415582144693281,-0.21311397087693212,0.21250191472667374,0.0866955267050092,0.9463470054095376,0.7313239127800065,derecha,abrir-cerrar_mano_derecha.57.csv
0.2243271436818519,0.12074613194735812,0.14552542858198167,0.06046187483550191,0.2574389108995465,0.26174191757967086,0.16386526884634997,-0.1366927789521884,-0.11621648899768919,0.5753917898433533,-0.3614441605324995,-0.28535674966191144,0.8297252571366474,0.9835600787389535,derecha,abrir-cerrar_mano_derecha.58.csv
0.11279449086010708,0.0811003829325556,0.22309211744984433,0.16112990109610387,0.09541055978047579,0.17727557033044425,-0.04833541023599679,-0.014310176847920186,0.045816547119400086,-0.17645529164547963,-0.08107245826940516,0.11443617298152516,0.3635286635149805,0.5382047521865625,derecha,abrir-cerrar_mano_derecha.59.csv
0.13265176280701224,0.1084563671999741,0.24092095167668073,0.12646173324157933,0.1443521840105144,0.2441956594418677,0.0061900295654329085,-0.035895816810540285,-0.003274707765186957,0.02388925864895708,-0.14198813773815758,-0.006750351611611167,0.4501740589327551,0.5911332675982541,derecha,abrir-cerrar_mano_derecha.60.csv
0.1265550069285963,0.0540390856511232,0.24740219310994827,0.1412561298243922,0.08558459929737171,0.28004251980549094,-0.014701122895795893,-0.03154551364624851,-0.032640326695542676,-0.054893618409973234,-0.22593237958560813,-0.06188388143334525,0.21842604864398735,0.305612863006259,izquierda,abrir-cerrar_mano_izquierda.01.csv
0.2191144243785963,0.19544081292412294,0.2524135932861192,0.2067994931773316,0.24778982539756841,0.20832984958796305,0.0123149312012647,-0.05234901247344548,0.044083743698156125,0.028914131246970304,-0.11810783543887789,0.09567958789900351,0.7742879558776565,1.1894109941208126,izquierda,abrir-cerrar_mano_izquierda.02.csv
0.24941660205200075,0.12117249522175129,0.14774980352175413,0.22109949712931223,0.1777653180868821,0.14508778717280482,0.02831710492268852,-0.0565928228651308,0.002662016348949303,0.060183072099188314,-0.18931302248328236,0.00909041852083022,0.8201194460655635,1.2252258394629645,izquierda,abrir-cerrar_mano_izquierda.03.csv
0.17353832634842423,0.07494638131471772,0.24965544422006328,0.084364555953926,0.24050958492225213,0.24028482598488918,0.08917377039449823,-0.1655632036075344,0.0093706182351741,0.3457649101893596,-0.5248377462443877,0.01912604171115339,0.3001992548044029,1.0009353438240984,izquierda,abrir-cerrar_mano_izquierda.05.csv
0.18672083897798866,0.1061875748022658,0.23996894322381565,0.11855112924726384,0.2569631022683581,0.18945808453261107,0.06816970973072482,-0.1507755274660923,0.050510858691204585,0.22330811405304982,-0.41518722897740284,0.11762384351740472,0.44250547154417164,1.3563057461455021,izquierda,abrir-cerrar_mano_izquierda.06.csv
0.2340463436781657,0.26774463465583836,0.24053499009879373,0.2258257378252995,0.2630211868622366,0.21508191863160833,0.008220605852866214,0.004723447793601787,0.025453071467185395,0.01787585288333217,0.00889930646080207,0.05586507089796308,1.1131213110186415,1.2228883594992235,izquierda,abrir-cerrar_mano_izquierda.07.csv
0.10320808968195931,0.07317127475997551,0.1609694668922936,0.0910549329716206,0.06497950036009291,0.12220371886052221,0.012153156710338717,0.008191774399882598,0.038765748031771394,0.0625603160021231,0.059295894647019454,0.1368976605596892,0.45456614615785323,0.5317309133361844,izquierda,abrir-cerrar_mano_izquierda.08.csv
0.03954701873480299,0.0640288195650417,0.2868569547311939,0.05964814516895741,0.08145166124133599,0.34951243679869887,-0.020101126434154418,-0.017422841676294293,-0.06265548206750499,-0.20264218150024738,-0.11976067429881462,-0.09845772269514409,0.2232081749349939,0.23304366407370877,izquierda,abrir-cerrar_mano_izquierda.09.csv
