experiment,model,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,balanced_acc_mean,f1_macro_mean
Solo T7/T8 + lateralidad,Random Forest,1.0,0.0,0.6454545454545454,0.05300865358950273,0.6424242424242423,0.6375430155362851
Solo T7/T8 + lateralidad,MLP 20-10,0.975,0.008503766788122587,0.6363636363636364,0.049792959773196914,0.63,0.6214717517171934
Solo T7/T8 + lateralidad,Logistic Regression,0.7454545454545455,0.005567022142689036,0.6181818181818182,0.10204520145747113,0.6153030303030302,0.6044276856041562
Solo T7/T8 + lateralidad,SVM linear,0.7659090909090909,0.013636363636363624,0.5999999999999999,0.04453617714151232,0.5968181818181819,0.5793506080882601
Solo T7/T8 + lateralidad,KNN,0.7477272727272727,0.029105110170149287,0.5909090909090908,0.06428243465332249,0.5875757575757575,0.5810694633584659
Solo T7/T8 + lateralidad,SVM RBF,0.8568181818181818,0.022268088570756146,0.5909090909090908,0.02874797872880346,0.5893939393939392,0.5848947368421052
Solo T7/T8 + lateralidad,MLP pequeño,0.7977272727272727,0.02727272727272729,0.5636363636363636,0.07385489458759964,0.5595454545454545,0.54588294352482
Solo T7/T8 + lateralidad,Dummy baseline,0.509090909090909,0.004545454545454541,0.4909090909090909,0.018181818181818188,0.5,0.32916666666666666
