T7_theta_mean,T7_theta_std,T7_theta_min,T7_theta_max,T7_theta_median,T7_mu_mean,T7_mu_std,T7_mu_min,T7_mu_max,T7_mu_median,T7_beta_mean,T7_beta_std,T7_beta_min,T7_beta_max,T7_beta_median,T8_theta_mean,T8_theta_std,T8_theta_min,T8_theta_max,T8_theta_median,T8_mu_mean,T8_mu_std,T8_mu_min,T8_mu_max,T8_mu_median,T8_beta_mean,T8_beta_std,T8_beta_min,T8_beta_max,T8_beta_median,AF3_theta_mean,AF3_theta_std,AF3_theta_min,AF3_theta_max,AF3_theta_median,AF3_alpha_mean,AF3_alpha_std,AF3_alpha_min,AF3_alpha_max,AF3_alpha_median,AF3_beta_mean,AF3_beta_std,AF3_beta_min,AF3_beta_max,AF3_beta_median,AF4_theta_mean,AF4_theta_std,AF4_theta_min,AF4_theta_max,AF4_theta_median,AF4_alpha_mean,AF4_alpha_std,AF4_alpha_min,AF4_alpha_max,AF4_alpha_median,AF4_beta_mean,AF4_beta_std,AF4_beta_min,AF4_beta_max,AF4_beta_median,Pz_alpha_mean,Pz_alpha_std,Pz_alpha_min,Pz_alpha_max,Pz_alpha_median,Pz_beta_mean,Pz_beta_std,Pz_beta_min,Pz_beta_max,Pz_beta_median,AF3_mean,AF3_std,AF3_min,AF3_max,AF3_range,AF3_median,T7_mean,T7_std,T7_min,T7_max,T7_range,T7_median,Pz_mean,Pz_std,Pz_min,Pz_max,Pz_range,Pz_median,T8_mean,T8_std,T8_min,T8_max,T8_range,T8_median,AF4_mean,AF4_std,AF4_min,AF4_max,AF4_range,AF4_median,theta_diff_T7_T8,theta_ratio_T7_T8,theta_asym_T7_T8,mu_diff_T7_T8,mu_ratio_T7_T8,mu_asym_T7_T8,beta_diff_T7_T8,beta_ratio_T7_T8,beta_asym_T7_T8,T7_mu_beta_ratio,T8_mu_beta_ratio,label,file
0.17422678463235333,5.551115123125783e-17,0.1742267846323534,0.1742267846323534,0.1742267846323534,0.22040654138759222,8.326672684688674e-17,0.2204065413875923,0.2204065413875923,0.2204065413875923,0.23227026704490894,2.7755575615628914e-17,0.2322702670449089,0.2322702670449089,0.2322702670449089,0.2152126740344267,8.326672684688674e-17,0.2152126740344268,0.2152126740344268,0.2152126740344268,0.22273790375097888,8.326672684688674e-17,0.2227379037509788,0.2227379037509788,0.2227379037509788,0.2517094936254791,0.0,0.2517094936254791,0.2517094936254791,0.2517094936254791,0.17940345742747896,5.551115123125783e-17,0.1794034574274789,0.1794034574274789,0.1794034574274789,0.16230239536554117,2.7755575615628914e-17,0.1623023953655412,0.1623023953655412,0.1623023953655412,0.20536796854410047,2.7755575615628914e-17,0.2053679685441005,0.2053679685441005,0.2053679685441005,0.23914038175023353,2.7755575615628914e-17,0.2391403817502335,0.2391403817502335,0.2391403817502335,0.1785475411072239,0.0,0.1785475411072239,0.1785475411072239,0.1785475411072239,0.28559213980624504,5.551115123125783e-17,0.285592139806245,0.285592139806245,0.285592139806245,0.380772094083833,0.0,0.380772094083833,0.380772094083833,0.380772094083833,0.1910389233460865,0.0,0.1910389233460865,0.1910389233460865,0.1910389233460865,4267.6883046875,38.330365232307166,4164.103,4376.923,212.8199999999997,4265.641,4229.1065546875,27.613273535210244,4151.795,4315.897,164.10199999999986,4229.744,4158.429484374999,32.636642352365435,4087.179,4254.359,167.1800000000003,4157.949,4210.502140625001,85.08827613705084,4009.744,4376.923,367.17899999999963,4199.487,4234.901174479167,45.89977203077777,4123.59,4337.949,214.35899999999947,4237.436,-0.04098588940207337,0.8095563020090534,-0.1052432860551752,-0.0023313623633866576,0.98953311394488,-0.005260953479960934,-0.01943922658057018,0.922771145703366,-0.040165370039420854,0.9489227127626714,0.8849006515160931,derecha,abrir-cerrar_mano_derecha.01.csv
0.12083242710577348,1.3877787807814457e-17,0.1208324271057735,0.1208324271057735,0.1208324271057735,0.15499412392617892,2.7755575615628914e-17,0.1549941239261789,0.1549941239261789,0.1549941239261789,0.29478992468966575,5.551115123125783e-17,0.2947899246896657,0.2947899246896657,0.2947899246896657,0.0898602844825862,0.0,0.0898602844825862,0.0898602844825862,0.0898602844825862,0.16587528639021956,2.7755575615628914e-17,0.1658752863902196,0.1658752863902196,0.1658752863902196,0.32083890228754613,5.551115123125783e-17,0.3208389022875461,0.3208389022875461,0.3208389022875461,0.09196243210110579,1.3877787807814457e-17,0.0919624321011058,0.0919624321011058,0.0919624321011058,0.1020784296147484,0.0,0.1020784296147484,0.1020784296147484,0.1020784296147484,0.3500531047455317,1.1102230246251565e-16,0.3500531047455316,0.3500531047455316,0.3500531047455316,0.12117866424461592,1.3877787807814457e-17,0.1211786642446159,0.1211786642446159,0.1211786642446159,0.16052441214736052,2.7755575615628914e-17,0.1605244121473605,0.1605244121473605,0.1605244121473605,0.3205184953020024,0.0,0.3205184953020024,0.3205184953020024,0.3205184953020024,0.1402805115548702,0.0,0.1402805115548702,0.1402805115548702,0.1402805115548702,0.29824673453993433,5.551115123125783e-17,0.2982467345399343,0.2982467345399343,0.2982467345399343,4248.039549479166,26.67888757964123,4168.205,4302.564,134.35900000000038,4250.256,4221.941794270834,29.359039089560863,4137.949,4280.0,142.05100000000039,4223.077,4160.994950520833,28.618577473094096,4069.231,4234.359,165.12800000000016,4162.564,4174.9746171875,33.77898240457149,4105.128,4262.051,156.92300000000068,4171.538500000001,4218.776705729167,31.038488051872264,4150.256,4302.564,152.308,4217.949,0.030972142623187274,1.344669832227061,0.14700148343851674,-0.010881162464040639,0.9344014889447865,-0.033911497248042814,-0.026048977597880385,0.9188097621571087,-0.0423127963364793,0.5257782091147241,0.517004889486587,derecha,abrir-cerrar_mano_derecha.02.csv
0.058333266296322704,6.938893903907228e-18,0.0583332662963227,0.0583332662963227,0.0583332662963227,0.1202246015966828,0.0,0.1202246015966828,0.1202246015966828,0.1202246015966828,0.16864577941977063,2.7755575615628914e-17,0.1686457794197706,0.1686457794197706,0.1686457794197706,0.20266416541344642,2.7755575615628914e-17,0.2026641654134464,0.2026641654134464,0.2026641654134464,0.22517686011036483,2.7755575615628914e-17,0.2251768601103648,0.2251768601103648,0.2251768601103648,0.17750867359220643,2.7755575615628914e-17,0.1775086735922064,0.1775086735922064,0.1775086735922064,0.23041535624945922,8.326672684688674e-17,0.2304153562494593,0.2304153562494593,0.2304153562494593,0.13731376121848712,2.7755575615628914e-17,0.1373137612184871,0.1373137612184871,0.1373137612184871,0.19223899516661744,2.7755575615628914e-17,0.1922389951666174,0.1922389951666174,0.1922389951666174,0.14644714442180132,2.7755575615628914e-17,0.1464471444218013,0.1464471444218013,0.1464471444218013,0.0882815988100053,0.0,0.0882815988100053,0.0882815988100053,0.0882815988100053,0.1721683865458465,0.0,0.1721683865458465,0.1721683865458465,0.1721683865458465,0.14730643574433383,2.7755575615628914e-17,0.1473064357443338,0.1473064357443338,0.1473064357443338,0.1616356397882495,0.0,0.1616356397882495,0.1616356397882495,0.1616356397882495,4221.491705729167,34.95512351527443,4140.513,4303.59,163.07700000000023,4223.077,4207.353106770833,32.25316109486009,4125.641,4279.487,153.84600000000046,4208.461499999999,4172.267638020833,22.525818728685916,4105.128,4227.179,122.05100000000039,4173.076999999999,4188.762010416667,56.5224069699068,4094.359,4302.051,207.69200000000046,4176.923,4223.779377604166,35.98078943832125,4124.615,4301.026,176.41100000000006,4226.6665,-0.1443308991171237,0.28783215473242635,-0.5529973710532405,-0.10495225851368203,0.5339118602090779,-0.30385585213341915,-0.008862894172435798,0.9500705881364279,-0.025603870871164065,0.7128823198629392,1.268539969727156,derecha,abrir-cerrar_mano_derecha.03.csv
0.149951947108931,0.0,0.149951947108931,0.149951947108931,0.149951947108931,0.12401069158346119,1.3877787807814457e-17,0.1240106915834612,0.1240106915834612,0.1240106915834612,0.19640252460969962,2.7755575615628914e-17,0.1964025246096996,0.1964025246096996,0.1964025246096996,0.12947658371961454,2.7755575615628914e-17,0.1294765837196145,0.1294765837196145,0.1294765837196145,0.24820894293743023,2.7755575615628914e-17,0.2482089429374302,0.2482089429374302,0.2482089429374302,0.15470130104569652,2.7755575615628914e-17,0.1547013010456965,0.1547013010456965,0.1547013010456965,0.16017376731930896,2.7755575615628914e-17,0.160173767319309,0.160173767319309,0.160173767319309,0.1379080932365688,0.0,0.1379080932365688,0.1379080932365688,0.1379080932365688,0.1768732574456613,0.0,0.1768732574456613,0.1768732574456613,0.1768732574456613,0.14688564686790093,2.7755575615628914e-17,0.1468856468679009,0.1468856468679009,0.1468856468679009,0.15939877386582152,2.7755575615628914e-17,0.1593987738658215,0.1593987738658215,0.1593987738658215,0.2232720610418202,0.0,0.2232720610418202,0.2232720610418202,0.2232720610418202,0.18187833038913845,5.551115123125783e-17,0.1818783303891384,0.1818783303891384,0.1818783303891384,0.16427696250439877,2.7755575615628914e-17,0.1642769625043988,0.1642769625043988,0.1642769625043988,4265.0401067708335,59.6913806528313,4051.282,4357.949,306.66699999999946,4280.0,4227.443921875,39.7927789127382,4108.718,4327.179,218.46100000000024,4232.5645,4163.621791666667,37.680264467931536,4043.077,4250.769,207.692,4166.667,4156.346166666666,41.16368366090094,4028.205,4258.462,230.25700000000052,4155.897,4239.4765,40.37894665295373,4121.026,4336.923,215.89699999999993,4241.538,0.020475363389316464,1.1581394196518366,0.07327584837470104,-0.12419825135396904,0.4996221534954963,-0.3336692546515992,0.041701223564003104,1.269559535611726,0.11877176871668334,0.6314108513411045,1.6044398154073363,derecha,abrir-cerrar_mano_derecha.04.csv
0.17035435126972323,5.551115123125783e-17,0.1703543512697233,0.1703543512697233,0.1703543512697233,0.20109036681933837,2.7755575615628914e-17,0.2010903668193384,0.2010903668193384,0.2010903668193384,0.2639006432981757,0.0,0.2639006432981757,0.2639006432981757,0.2639006432981757,0.11415430530816593,4.163336342344337e-17,0.1141543053081659,0.1141543053081659,0.1141543053081659,0.3116532809380676,0.0,0.3116532809380676,0.3116532809380676,0.3116532809380676,0.2712161495868353,5.551115123125783e-17,0.2712161495868354,0.2712161495868354,0.2712161495868354,0.1436213410074323,0.0,0.1436213410074323,0.1436213410074323,0.1436213410074323,0.23401465016475018,8.326672684688674e-17,0.2340146501647501,0.2340146501647501,0.2340146501647501,0.2621313535343934,0.0,0.2621313535343934,0.2621313535343934,0.2621313535343934,0.0698659124974431,0.0,0.0698659124974431,0.0698659124974431,0.0698659124974431,0.2672198437244781,0.0,0.2672198437244781,0.2672198437244781,0.2672198437244781,0.25267124922533457,5.551115123125783e-17,0.2526712492253346,0.2526712492253346,0.2526712492253346,0.42488101759004243,1.6653345369377348e-16,0.4248810175900426,0.4248810175900426,0.4248810175900426,0.23437063130670668,2.7755575615628914e-17,0.2343706313067067,0.2343706313067067,0.2343706313067067,4267.9513984375,39.400715967679155,4177.436,4373.333,195.89699999999993,4264.615,4237.294333333333,44.644867939632476,4133.846,4324.103,190.25700000000052,4253.846,4200.837317708333,33.60249008309473,4112.308,4294.359,182.05100000000039,4202.564,4198.211802083333,52.79992952614652,4072.821,4337.949,265.1279999999997,4195.385,4250.917466145834,41.26338088084403,4141.026,4357.436,216.40999999999985,4252.821,0.056200045961557296,1.4923163509836854,0.1975336872424291,-0.11056291411872923,0.6452374246203595,-0.2156299984329397,-0.007315506288659623,0.973026989616681,-0.013670858865240344,0.7619926828757436,1.1490955458289553,derecha,abrir-cerrar_mano_derecha.05.csv
0.2062468804837121,0.0,0.2062468804837121,0.2062468804837121,0.2062468804837121,0.09118239363427429,1.3877787807814457e-17,0.0911823936342743,0.0911823936342743,0.0911823936342743,0.1527120136476858,0.0,0.1527120136476858,0.1527120136476858,0.1527120136476858,0.16293538209830433,2.7755575615628914e-17,0.1629353820983043,0.1629353820983043,0.1629353820983043,0.1796593936257238,0.0,0.1796593936257238,0.1796593936257238,0.1796593936257238,0.2055414967535518,0.0,0.2055414967535518,0.2055414967535518,0.2055414967535518,0.2456383299391525,0.0,0.2456383299391525,0.2456383299391525,0.2456383299391525,0.0251538277546825,0.0,0.0251538277546825,0.0251538277546825,0.0251538277546825,0.020266810207731405,3.469446951953614e-18,0.0202668102077314,0.0202668102077314,0.0202668102077314,0.20739057350660992,2.7755575615628914e-17,0.2073905735066099,0.2073905735066099,0.2073905735066099,0.0198119214216558,0.0,0.0198119214216558,0.0198119214216558,0.0198119214216558,0.014233114093119899,1.734723475976807e-18,0.0142331140931199,0.0142331140931199,0.0142331140931199,0.17269650513566684,5.551115123125783e-17,0.1726965051356669,0.1726965051356669,0.1726965051356669,0.15830280298195157,2.7755575615628914e-17,0.1583028029819516,0.1583028029819516,0.1583028029819516,4231.632622395834,84.0289687693056,4123.077,4632.821,509.7439999999997,4210.769,4221.872322916667,38.59313772354938,4131.795,4316.41,184.61499999999978,4216.666499999999,4149.129283854167,33.7052833262728,4061.026,4228.205,167.1790000000001,4150.256,4158.417479166666,58.532909092027936,4042.051,4292.821,250.76999999999998,4148.9745,4208.9576484375,91.8568120701252,4081.026,4603.59,522.5640000000003,4194.1025,0.043311498385407765,1.2658200150847307,0.11731738385619753,-0.08847699999144952,0.5075292013338215,-0.326674098630777,-0.05282948310586599,0.7429740885902448,-0.14746396084732932,0.5970871936360204,0.8740784110390846,derecha,abrir-cerrar_mano_derecha.06.csv
0.146726428115896,0.0,0.146726428115896,0.146726428115896,0.146726428115896,0.20581699743111995,5.551115123125783e-17,0.20581699743112,0.20581699743112,0.20581699743112,0.16769990658720976,5.551115123125783e-17,0.1676999065872097,0.1676999065872097,0.1676999065872097,0.10093133282275309,1.3877787807814457e-17,0.1009313328227531,0.1009313328227531,0.1009313328227531,0.2000857281572889,0.0,0.2000857281572889,0.2000857281572889,0.2000857281572889,0.20350468610838443,2.7755575615628914e-17,0.2035046861083844,0.2035046861083844,0.2035046861083844,0.18360093069568587,2.7755575615628914e-17,0.1836009306956859,0.1836009306956859,0.1836009306956859,0.12984348594456022,2.7755575615628914e-17,0.1298434859445602,0.1298434859445602,0.1298434859445602,0.18061962280142022,2.7755575615628914e-17,0.1806196228014202,0.1806196228014202,0.1806196228014202,0.12035851885285959,1.3877787807814457e-17,0.1203585188528596,0.1203585188528596,0.1203585188528596,0.0790792008987765,0.0,0.0790792008987765,0.0790792008987765,0.0790792008987765,0.12609373132147056,2.7755575615628914e-17,0.1260937313214706,0.1260937313214706,0.1260937313214706,0.19656366902012498,2.7755575615628914e-17,0.196563669020125,0.196563669020125,0.196563669020125,0.24041468938932212,8.326672684688674e-17,0.2404146893893222,0.2404146893893222,0.2404146893893222,4231.324783854167,43.762087953616344,4147.179,4477.436,330.2569999999996,4227.692,4222.3691171875,25.19328793091766,4156.41,4300.0,143.59000000000015,4219.7435000000005,4147.025908854167,20.903448510839976,4073.333,4203.077,129.74400000000014,4146.4105,4144.400359375,25.334366349367706,4038.974,4206.667,167.6930000000002,4145.8975,4226.5184140625,47.687443242898844,4105.128,4379.487,274.3590000000004,4222.8205,0.04579509529314292,1.4537251166227354,0.18491281383812297,0.005731269273831052,1.0286440169430051,0.014119809430510074,-0.03580477952117467,0.8240591484822276,-0.09645564538038966,1.2272933798633585,0.9831995623861445,derecha,abrir-cerrar_mano_derecha.13.csv
0.1425234338372812,0.0,0.1425234338372812,0.1425234338372812,0.1425234338372812,0.056157586846514916,1.3877787807814457e-17,0.0561575868465149,0.0561575868465149,0.0561575868465149,0.036021480562529094,6.938893903907228e-18,0.0360214805625291,0.0360214805625291,0.0360214805625291,0.12848709493501162,2.7755575615628914e-17,0.1284870949350116,0.1284870949350116,0.1284870949350116,0.07105175252312358,1.3877787807814457e-17,0.0710517525231236,0.0710517525231236,0.0710517525231236,0.0348932153620884,0.0,0.0348932153620884,0.0348932153620884,0.0348932153620884,0.3259800163857385,0.0,0.3259800163857385,0.3259800163857385,0.3259800163857385,0.097727565567428,0.0,0.097727565567428,0.097727565567428,0.097727565567428,0.024880483820249207,6.938893903907228e-18,0.0248804838202492,0.0248804838202492,0.0248804838202492,0.27121505815113023,5.551115123125783e-17,0.2712150581511302,0.2712150581511302,0.2712150581511302,0.080429352189771,0.0,0.080429352189771,0.080429352189771,0.080429352189771,0.023162337695355698,3.469446951953614e-18,0.0231623376953557,0.0231623376953557,0.0231623376953557,0.0849742422324975,0.0,0.0849742422324975,0.0849742422324975,0.0849742422324975,0.0319159558640233,0.0,0.0319159558640233,0.0319159558640233,0.0319159558640233,4186.4823541666665,103.20249934104866,3892.308,4395.385,503.0770000000002,4202.564,4239.356296875,54.90877503314959,4015.385,4440.513,425.1279999999997,4238.718000000001,4129.493859375,56.381046128950196,3919.487,4323.077,403.59000000000015,4126.667,4120.379283854167,70.73564064094968,3882.564,4316.923,434.3589999999999,4112.5645,4154.0277890625,84.46798682245431,3790.256,4436.923,646.6669999999999,4148.718,0.014036338902269574,1.1092430941561733,0.05179259436129574,-0.014894165676608666,0.7903757043076672,-0.11708389163543281,0.0011282652004406951,1.0323345058742133,0.01591017244913973,1.5590023058327338,2.036262104916261,derecha,abrir-cerrar_mano_derecha.14.csv
0.1544646522061357,0.0,0.1544646522061357,0.1544646522061357,0.1544646522061357,0.14269963538048308,2.7755575615628914e-17,0.1426996353804831,0.1426996353804831,0.1426996353804831,0.19031869175138108,2.7755575615628914e-17,0.1903186917513811,0.1903186917513811,0.1903186917513811,0.19049738732711716,5.551115123125783e-17,0.1904973873271171,0.1904973873271171,0.1904973873271171,0.13868531398612144,2.7755575615628914e-17,0.1386853139861214,0.1386853139861214,0.1386853139861214,0.22318617271375776,2.7755575615628914e-17,0.2231861727137578,0.2231861727137578,0.2231861727137578,0.0965723781891007,0.0,0.0965723781891007,0.0965723781891007,0.0965723781891007,0.0921183536099237,0.0,0.0921183536099237,0.0921183536099237,0.0921183536099237,0.0803223939787102,0.0,0.0803223939787102,0.0803223939787102,0.0803223939787102,0.1022688884937677,0.0,0.1022688884937677,0.1022688884937677,0.1022688884937677,0.09153286113276939,1.3877787807814457e-17,0.0915328611327694,0.0915328611327694,0.0915328611327694,0.0913041383494889,0.0,0.0913041383494889,0.0913041383494889,0.0913041383494889,0.1951141366988486,0.0,0.1951141366988486,0.1951141366988486,0.1951141366988486,0.17218742463125644,2.7755575615628914e-17,0.1721874246312564,0.1721874246312564,0.1721874246312564,4273.8394687499995,56.65706473002233,4175.385,4573.846,398.46099999999933,4261.281999999999,4254.1653125,24.912415059778475,4160.513,4326.667,166.15400000000045,4251.538500000001,4160.503466145833,29.33410350712225,4088.718,4243.077,154.35900000000038,4159.487,4152.490653645834,29.1287940362735,4075.385,4234.359,158.97400000000016,4149.744,4234.057161458333,62.89196385270519,4122.564,4555.897,433.33299999999963,4220.7695,-0.03603273512098146,0.8108491474079986,-0.10445420059897938,0.004014321394361642,1.02894546646308,0.014266296974073703,-0.03286748096237668,0.8527350996251856,-0.07948511128167517,0.7497930264724894,0.6213884403587343,derecha,abrir-cerrar_mano_derecha.15.csv
0.17210867851769598,2.7755575615628914e-17,0.172108678517696,0.172108678517696,0.172108678517696,0.10758114962091027,2.7755575615628914e-17,0.1075811496209103,0.1075811496209103,0.1075811496209103,0.1904574687690732,0.0,0.1904574687690732,0.1904574687690732,0.1904574687690732,0.07171807608686978,1.3877787807814457e-17,0.0717180760868698,0.0717180760868698,0.0717180760868698,0.1647174096840054,0.0,0.1647174096840054,0.1647174096840054,0.1647174096840054,0.17453883766096315,5.551115123125783e-17,0.1745388376609632,0.1745388376609632,0.1745388376609632,0.4294678177106868,0.0,0.4294678177106868,0.4294678177106868,0.4294678177106868,0.047316320089081994,6.938893903907228e-18,0.047316320089082,0.047316320089082,0.047316320089082,0.0311883372535855,0.0,0.0311883372535855,0.0311883372535855,0.0311883372535855,0.3503490922183765,0.0,0.3503490922183765,0.3503490922183765,0.3503490922183765,0.0544173724377468,0.0,0.0544173724377468,0.0544173724377468,0.0544173724377468,0.04545737719223699,6.938893903907228e-18,0.045457377192237,0.045457377192237,0.045457377192237,0.16755120200334242,2.7755575615628914e-17,0.1675512020033424,0.1675512020033424,0.1675512020033424,0.232557603274148,8.326672684688674e-17,0.2325576032741481,0.2325576032741481,0.2325576032741481,4229.7368984375,97.19339796512887,4071.282,4580.0,508.71799999999985,4225.128,4247.550755208333,37.414029713304004,4131.282,4327.179,195.89699999999993,4253.333,4139.058497395833,42.8972036675444,4050.256,4257.436,207.17999999999984,4137.1795,4147.853893229167,50.26148194081664,4030.256,4258.974,228.7180000000003,4151.538500000001,4179.480518229167,103.90147826213526,3964.615,4414.359,449.7440000000006,4192.8205,0.1003906024308262,2.399794639098795,0.4117292151812703,-0.05713626006309512,0.6531255153662219,-0.20982945378282483,0.015918631108110065,1.0912038856761077,0.0436131281099145,0.5648565250165407,0.9437292149651657,derecha,abrir-cerrar_mano_derecha.16.csv
