mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.005833673477172852,0.0005315117397686118,0.004899501800537109,0.0005747705187995368,20.0,scale,"{'clf__C': 20, 'clf__gamma': 'scale'}",0.6818181818181819,0.5909090909090909,0.7272727272727273,0.6818181818181819,0.75,0.6863636363636363,0.054545454545454536,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.006904506683349609,0.0016607481780172872,0.00446786880493164,0.00014771808712789428,20.0,auto,"{'clf__C': 20, 'clf__gamma': 'auto'}",0.6818181818181819,0.5909090909090909,0.7272727272727273,0.6818181818181819,0.75,0.6863636363636363,0.054545454545454536,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.006001186370849609,0.00059739156388282,0.005273866653442383,0.0008360883236939662,50.0,auto,"{'clf__C': 50, 'clf__gamma': 'auto'}",0.6818181818181819,0.5909090909090909,0.7272727272727273,0.6818181818181819,0.75,0.6863636363636363,0.054545454545454536,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.005613136291503906,0.0004199555881736401,0.008282089233398437,0.005471052127775267,50.0,scale,"{'clf__C': 50, 'clf__gamma': 'scale'}",0.6818181818181819,0.5909090909090909,0.7272727272727273,0.6818181818181819,0.75,0.6863636363636363,0.054545454545454536,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0062962532043457035,0.0013346729264813067,0.005981016159057617,0.0016775455940686486,10.0,0.05,"{'clf__C': 10, 'clf__gamma': 0.05}",0.6818181818181819,0.5909090909090909,0.7272727272727273,0.7272727272727273,0.7,0.6854545454545455,0.05032128182944744,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.005411767959594726,0.00010145001625788913,0.004489612579345703,0.0001387064625517466,10.0,scale,"{'clf__C': 10, 'clf__gamma': 'scale'}",0.6818181818181819,0.5909090909090909,0.7272727272727273,0.7272727272727273,0.6583333333333333,0.6771212121212121,0.05067134239698227,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.005253219604492187,0.00015703925075876473,0.0044310569763183595,0.00015273447744259058,10.0,auto,"{'clf__C': 10, 'clf__gamma': 'auto'}",0.6818181818181819,0.5909090909090909,0.7272727272727273,0.7272727272727273,0.6583333333333333,0.6771212121212121,0.05067134239698227,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.005598878860473633,0.0004968965020254553,0.005087137222290039,0.0010419711881621584,20.0,0.05,"{'clf__C': 20, 'clf__gamma': 0.05}",0.6818181818181819,0.5909090909090909,0.6818181818181819,0.7272727272727273,0.7,0.6763636363636364,0.04585280077424905,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.005678701400756836,0.0004837902108902829,0.005203676223754883,0.0010524085636761786,50.0,0.05,"{'clf__C': 50, 'clf__gamma': 0.05}",0.6818181818181819,0.5909090909090909,0.6818181818181819,0.7272727272727273,0.7,0.6763636363636364,0.04585280077424905,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.005334091186523437,0.0008018934550127962,0.0048290729522705075,0.0007632684534713693,5.0,scale,"{'clf__C': 5, 'clf__gamma': 'scale'}",0.5909090909090909,0.6363636363636364,0.6818181818181818,0.7727272727272727,0.6583333333333333,0.668030303030303,0.06032586745886733,10,0.9772609819121447,0.9883720930232558,0.9772609819121447,0.9656330749354005,0.9886363636363636,0.9794326990838618,0.008537945218673057
0.005040359497070312,0.0002020372262856967,0.005063152313232422,0.0010265226768287128,5.0,auto,"{'clf__C': 5, 'clf__gamma': 'auto'}",0.5909090909090909,0.6363636363636364,0.6818181818181818,0.7727272727272727,0.6583333333333333,0.668030303030303,0.06032586745886733,10,0.9772609819121447,0.9883720930232558,0.9772609819121447,0.9656330749354005,0.9886363636363636,0.9794326990838618,0.008537945218673057
0.004593086242675781,0.0002677508962206286,0.004277324676513672,0.0001356090506320606,1.0,0.1,"{'clf__C': 1, 'clf__gamma': 0.1}",0.5909090909090908,0.8181818181818181,0.6363636363636364,0.6818181818181819,0.525,0.6504545454545455,0.09858922208205013,12,0.9772609819121447,1.0,0.9661498708010337,0.9550387596899225,0.9772727272727273,0.9751444679351657,0.014912738682729272
0.006127071380615234,0.0009921417543898759,0.004743385314941406,0.00041953783486267887,5.0,0.05,"{'clf__C': 5, 'clf__gamma': 0.05}",0.5909090909090909,0.6818181818181819,0.6363636363636364,0.7272727272727273,0.6083333333333333,0.648939393939394,0.049782815729577885,13,0.9883720930232558,1.0,0.9888888888888889,0.9772609819121447,0.9886363636363636,0.9886316654921306,0.00719256613975807
0.004740333557128907,9.058834313703056e-05,0.00431370735168457,0.00015639117536542853,2.0,0.1,"{'clf__C': 2, 'clf__gamma': 0.1}",0.6363636363636364,0.7727272727272727,0.5909090909090909,0.6818181818181819,0.525,0.6413636363636364,0.08367094146883368,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.004978799819946289,0.0006043591970568311,0.00418696403503418,0.0007444891794866283,50.0,0.1,"{'clf__C': 50, 'clf__gamma': 0.1}",0.6363636363636364,0.6818181818181819,0.6363636363636364,0.6818181818181819,0.5666666666666667,0.6406060606060606,0.04218982856716879,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.005391740798950195,0.0005195055952599734,0.0049591064453125,0.0006559979994894479,20.0,0.1,"{'clf__C': 20, 'clf__gamma': 0.1}",0.6363636363636364,0.6818181818181819,0.6363636363636364,0.6818181818181819,0.5666666666666667,0.6406060606060606,0.04218982856716879,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.006433868408203125,0.0017383568049365028,0.0059643745422363285,0.0011754085819223707,5.0,0.1,"{'clf__C': 5, 'clf__gamma': 0.1}",0.6363636363636364,0.6818181818181819,0.6363636363636364,0.6818181818181819,0.5666666666666667,0.6406060606060606,0.04218982856716879,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.006771755218505859,0.0012691821602135425,0.004997444152832031,0.001112699303301066,10.0,0.1,"{'clf__C': 10, 'clf__gamma': 0.1}",0.6363636363636364,0.6818181818181819,0.6363636363636364,0.6818181818181819,0.5666666666666667,0.6406060606060606,0.04218982856716879,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.005907201766967773,0.00014447643409069437,0.00456690788269043,0.0005448756468398,50.0,0.01,"{'clf__C': 50, 'clf__gamma': 0.01}",0.5909090909090909,0.5909090909090909,0.6818181818181818,0.6363636363636364,0.6583333333333333,0.6316666666666666,0.03625108845457488,19,0.9540051679586563,0.9434108527131784,0.9656330749354005,0.9095607235142118,0.9545454545454546,0.9454310547333804,0.01926380647614748
0.005967330932617187,0.002208083014241177,0.004848194122314453,0.0008091955432154779,2.0,auto,"{'clf__C': 2, 'clf__gamma': 'auto'}",0.5909090909090909,0.6363636363636364,0.5909090909090909,0.6363636363636364,0.6666666666666667,0.6242424242424243,0.029379877923735333,20,0.9428940568475452,0.920671834625323,0.9550387596899225,0.8757105943152454,0.9545454545454546,0.9297721400046981,0.029764979978539476
0.004829549789428711,0.0002042936782221824,0.004313850402832031,7.032476791466274e-05,2.0,scale,"{'clf__C': 2, 'clf__gamma': 'scale'}",0.5909090909090909,0.6363636363636364,0.5909090909090909,0.6363636363636364,0.6666666666666667,0.6242424242424243,0.029379877923735333,20,0.9428940568475452,0.920671834625323,0.9550387596899225,0.8757105943152454,0.9545454545454546,0.9297721400046981,0.029764979978539476
0.005055713653564453,0.0005622486678655643,0.004590749740600586,0.0009224615775172713,2.0,0.05,"{'clf__C': 2, 'clf__gamma': 0.05}",0.5909090909090909,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6166666666666667,0.6233333333333333,0.017917267271629657,22,0.9661498708010337,0.9545219638242894,0.9661498708010337,0.9090439276485788,0.9659090909090909,0.9523549447968053,0.022112688762956485
0.006815576553344726,0.0012170035919116995,0.0051918506622314455,0.0007303384987124101,20.0,0.01,"{'clf__C': 20, 'clf__gamma': 0.01}",0.4545454545454546,0.6363636363636364,0.6818181818181818,0.6363636363636364,0.7,0.6218181818181817,0.08731059784394885,23,0.9307493540051679,0.8645994832041344,0.8984496124031007,0.8529715762273902,0.8863636363636364,0.8866267324406859,0.02721956903606087
0.0042266845703125,0.0001391769144723791,0.0038305282592773437,0.00030506521695712347,0.5,auto,"{'clf__C': 0.5, 'clf__gamma': 'auto'}",0.5454545454545454,0.7272727272727273,0.5909090909090909,0.5,0.6833333333333333,0.6093939393939394,0.08456880311895972,24,0.8291989664082687,0.8059431524547804,0.7968992248062015,0.7847545219638243,0.75,0.793359173126615,0.026112974552718413
0.010153532028198242,0.006495117089874541,0.004760932922363281,0.001082604917679391,0.5,scale,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.5454545454545454,0.7272727272727273,0.5909090909090909,0.5,0.6833333333333333,0.6093939393939394,0.08456880311895972,24,0.8291989664082687,0.8059431524547804,0.7968992248062015,0.7847545219638243,0.75,0.793359173126615,0.026112974552718413
0.006524896621704102,0.0034515789387245303,0.004056215286254883,0.0001393449210572748,0.5,0.1,"{'clf__C': 0.5, 'clf__gamma': 0.1}",0.5909090909090908,0.6818181818181819,0.5454545454545454,0.6363636363636364,0.5916666666666667,0.6092424242424243,0.046296247321676,26,0.9434108527131784,0.9418604651162791,0.9439276485788113,0.9090439276485788,0.9318181818181819,0.9340122151750059,0.013239897270546563
