experiment,model,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,balanced_acc_mean,balanced_acc_std,f1_macro_mean,f1_macro_std
Todas las features,SVM RBF,0.9138636363636362,0.01790845638008355,0.6645454545454546,0.104006516006935,0.666409090909091,0.10406792675578301,0.6570175462849744,0.10795090555019986
Todas las features,Random Forest,1.0,0.0,0.6090909090909091,0.09447549859466603,0.6100000000000001,0.0949909376567818,0.6029769899932506,0.09633358810613847
Todas las features,SVM linear,0.9720454545454547,0.01578032303349085,0.5990909090909091,0.08266731093679448,0.5993484848484849,0.08230718208165204,0.5932964474591221,0.08599326428529293
Todas las features,Logistic Regression,0.9525,0.02152381921008515,0.5900000000000001,0.09512497217123647,0.589939393939394,0.0948385656542397,0.5836022330294305,0.09678358556972194
Todas las features,KNN,0.7188636363636363,0.03445337608953501,0.5609090909090909,0.12012734290075967,0.5611666666666667,0.11988581286675151,0.5518499468020027,0.12360471770140118
Todas las features,Dummy baseline,0.509090909090909,0.004545454545454541,0.49090909090909096,0.018181818181818188,0.5,0.0,0.32916666666666666,0.008333333333333326
