model,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,balanced_acc_mean,balanced_acc_std,f1_macro_mean,f1_macro_std
SVM RBF,0.8731818181818182,0.024304371609626986,0.64,0.1007574618363448,0.6421969696969697,0.10085017959131078,0.6354357105344116,0.10447041222736281
SVM linear,0.7711363636363635,0.02660256154943983,0.63,0.08814432192491645,0.6314242424242424,0.08845945048532289,0.6223075605563141,0.09348173214701662
Logistic Regression,0.7456818181818181,0.026493605964926573,0.629090909090909,0.09973518655929074,0.6303030303030303,0.09935108555110839,0.6231071347430195,0.10337087175271248
Dummy baseline,0.509090909090909,0.004545454545454541,0.49090909090909096,0.018181818181818188,0.5,0.0,0.32916666666666666,0.008333333333333326
