mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0039961814880371095,0.00042445828845603874,0.003014087677001953,0.00010772562988495077,20.0,scale,"{'clf__C': 20, 'clf__gamma': 'scale'}",0.6818181818181819,0.5909090909090909,0.7272727272727273,0.6818181818181819,0.75,0.6863636363636363,0.054545454545454536,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0038096427917480467,0.00042594815760923545,0.0030827045440673826,0.00013051350965658453,20.0,auto,"{'clf__C': 20, 'clf__gamma': 'auto'}",0.6818181818181819,0.5909090909090909,0.7272727272727273,0.6818181818181819,0.75,0.6863636363636363,0.054545454545454536,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0036592483520507812,0.00024353045157913633,0.0029974937438964843,0.00011413937817228682,50.0,auto,"{'clf__C': 50, 'clf__gamma': 'auto'}",0.6818181818181819,0.5909090909090909,0.7272727272727273,0.6818181818181819,0.75,0.6863636363636363,0.054545454545454536,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0037602901458740233,0.0001766834110885416,0.003605222702026367,0.0005637892483196795,50.0,scale,"{'clf__C': 50, 'clf__gamma': 'scale'}",0.6818181818181819,0.5909090909090909,0.7272727272727273,0.6818181818181819,0.75,0.6863636363636363,0.054545454545454536,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.00363311767578125,0.00022626134692570928,0.0034859180450439453,0.0004549872121845433,10.0,0.05,"{'clf__C': 10, 'clf__gamma': 0.05}",0.6818181818181819,0.5909090909090909,0.7272727272727273,0.7272727272727273,0.7,0.6854545454545455,0.05032128182944744,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0035442352294921876,7.996000396642939e-05,0.002992677688598633,7.54550771347634e-05,10.0,scale,"{'clf__C': 10, 'clf__gamma': 'scale'}",0.6818181818181819,0.5909090909090909,0.7272727272727273,0.7272727272727273,0.6583333333333333,0.6771212121212121,0.05067134239698227,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0035819053649902345,6.0669653968011056e-05,0.005269670486450195,0.004459725345548045,10.0,auto,"{'clf__C': 10, 'clf__gamma': 'auto'}",0.6818181818181819,0.5909090909090909,0.7272727272727273,0.7272727272727273,0.6583333333333333,0.6771212121212121,0.05067134239698227,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.004035139083862304,0.0007192404157800055,0.004011917114257813,0.0007929335039653194,20.0,0.05,"{'clf__C': 20, 'clf__gamma': 0.05}",0.6818181818181819,0.5909090909090909,0.6818181818181819,0.7272727272727273,0.7,0.6763636363636364,0.04585280077424905,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0035161495208740233,0.00015171115051165122,0.003147125244140625,0.0003323005592549085,50.0,0.05,"{'clf__C': 50, 'clf__gamma': 0.05}",0.6818181818181819,0.5909090909090909,0.6818181818181819,0.7272727272727273,0.7,0.6763636363636364,0.04585280077424905,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0038528919219970705,0.00018874064046168337,0.003936386108398438,0.0007828915068627581,5.0,scale,"{'clf__C': 5, 'clf__gamma': 'scale'}",0.5909090909090909,0.6363636363636364,0.6818181818181818,0.7727272727272727,0.6583333333333333,0.668030303030303,0.06032586745886733,10,0.9772609819121447,0.9883720930232558,0.9772609819121447,0.9656330749354005,0.9886363636363636,0.9794326990838618,0.008537945218673057
