mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.003318166732788086,0.000731667186299722,0.003151082992553711,0.000557777167224206,2.0,scale,"{'clf__C': 2, 'clf__gamma': 'scale'}",0.7727272727272727,0.7727272727272727,0.7272727272727273,0.6818181818181819,0.6416666666666666,0.7192424242424241,0.05138932941016855,1,0.9434108527131784,1.0,0.9661498708010337,0.9661498708010337,0.9545454545454546,0.9660512097721401,0.018960527403140238
0.003926277160644531,9.563491978666252e-05,0.0032757282257080077,0.0001452214278276228,2.0,auto,"{'clf__C': 2, 'clf__gamma': 'auto'}",0.7727272727272727,0.7727272727272727,0.7272727272727273,0.6818181818181819,0.6416666666666666,0.7192424242424241,0.05138932941016855,1,0.9434108527131784,1.0,0.9661498708010337,0.9661498708010337,0.9545454545454546,0.9660512097721401,0.018960527403140238
0.003905916213989258,0.0001644600643942624,0.005175304412841797,0.003795582940610358,2.0,0.005,"{'clf__C': 2, 'clf__gamma': 0.005}",0.6818181818181819,0.8181818181818181,0.7272727272727273,0.6818181818181819,0.6833333333333333,0.7184848484848485,0.05280384547868651,3,0.9100775193798449,0.9095607235142118,0.921188630490956,0.9095607235142118,0.8863636363636365,0.9073502466525722,0.011394289017913483
0.0040854930877685545,0.00015906471407600516,0.0033324241638183595,2.9219809140998066e-05,2.0,0.01,"{'clf__C': 2, 'clf__gamma': 0.01}",0.7727272727272727,0.7727272727272727,0.7272727272727273,0.6363636363636364,0.6416666666666666,0.7101515151515151,0.060430807217621806,4,0.9777777777777779,1.0,0.9772609819121447,0.9777777777777779,0.9772727272727273,0.9820178529480856,0.00899397717613195
0.003968334197998047,9.35229022213308e-05,0.003560590744018555,0.00013560693799237065,1.0,0.01,"{'clf__C': 1, 'clf__gamma': 0.01}",0.7272727272727273,0.8181818181818181,0.6818181818181818,0.5454545454545454,0.7333333333333334,0.7012121212121212,0.08947556622526341,5,0.921188630490956,0.9545219638242894,0.9317829457364342,0.9439276485788113,0.8863636363636364,0.9275569649988256,0.02345384985105321
0.00407876968383789,0.0011778242244564828,0.003076314926147461,0.0005494960186622828,1.0,scale,"{'clf__C': 1, 'clf__gamma': 'scale'}",0.6818181818181818,0.8181818181818181,0.6363636363636364,0.5909090909090908,0.7333333333333334,0.6921212121212121,0.07880186356072294,6,0.921188630490956,0.92015503875969,0.920671834625323,0.9095607235142118,0.875,0.9093152454780361,0.017692070759514924
0.003585052490234375,0.0004528196245162319,0.0035449504852294923,0.00031820264285895456,1.0,auto,"{'clf__C': 1, 'clf__gamma': 'auto'}",0.6818181818181818,0.8181818181818181,0.6363636363636364,0.5909090909090908,0.7333333333333334,0.6921212121212121,0.07880186356072294,6,0.921188630490956,0.92015503875969,0.920671834625323,0.9095607235142118,0.875,0.9093152454780361,0.017692070759514924
0.004317665100097656,0.0007304363451672939,0.0033349990844726562,0.00012307203079224113,5.0,0.001,"{'clf__C': 5, 'clf__gamma': 0.001}",0.6363636363636364,0.8181818181818182,0.6818181818181819,0.6818181818181819,0.6416666666666666,0.691969696969697,0.06596671114190635,8,0.8186046511627907,0.8049095607235142,0.772609819121447,0.8291989664082687,0.7954545454545454,0.8041555085741132,0.019531299899060536
0.0038909435272216795,0.00019777797062106215,0.003466939926147461,0.0001898864473365744,5.0,scale,"{'clf__C': 5, 'clf__gamma': 'scale'}",0.8181818181818181,0.5909090909090908,0.7727272727272727,0.5,0.725,0.6813636363636364,0.11836000553012367,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.004484701156616211,0.0008373093684844073,0.0035562515258789062,0.0004451511496295846,5.0,auto,"{'clf__C': 5, 'clf__gamma': 'auto'}",0.8181818181818181,0.5909090909090908,0.7727272727272727,0.5,0.725,0.6813636363636364,0.11836000553012367,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.004004478454589844,0.00043831384106354456,0.0035631656646728516,0.00035902972442649364,5.0,0.0005,"{'clf__C': 5, 'clf__gamma': 0.0005}",0.6363636363636364,0.7727272727272727,0.5909090909090909,0.7272727272727273,0.6416666666666666,0.6737878787878788,0.06625839170997629,11,0.7958656330749354,0.7478036175710594,0.772609819121447,0.762015503875969,0.75,0.7656589147286821,0.017538806087279996
0.004041433334350586,0.00018198913531561502,0.0034098148345947264,0.0002908577056248449,1.0,0.005,"{'clf__C': 1, 'clf__gamma': 0.005}",0.6818181818181818,0.8181818181818181,0.5909090909090909,0.6363636363636364,0.6416666666666666,0.6737878787878787,0.07773716636188974,12,0.852454780361757,0.851421188630491,0.841343669250646,0.8640826873385012,0.8181818181818181,0.8454968287526426,0.015442174757875597
