time,sample,AF3,T7,Pz,T8,AF4,marker_hardware
1774430693.9178,27,4221.026,4316.41,4182.051,4145.641,4188.718,0.0
1774430693.9257,28,4224.103,4349.744,4164.615,4150.769,4209.744,0.0
1774430693.9335,29,4214.872,4360.513,4152.821,4141.538,4214.872,0.0
1774430693.9414,30,4206.667,4331.795,4167.179,4130.769,4190.256,0.0
1774430693.9492,31,4217.436,4321.538,4158.462,4134.359,4191.282,0.0
1774430693.9572,32,4215.385,4328.205,4137.436,4132.308,4200.513,0.0
1774430693.965,33,4206.154,4314.359,4141.026,4131.282,4189.744,0.0
1774430693.9729,34,4226.154,4323.59,4146.667,4150.769,4208.205,0.0
1774430693.9807,35,4233.846,4354.359,4144.615,4158.974,4238.462,0.0
1774430693.9886,36,4216.923,4337.949,4147.692,4147.692,4211.795,0.0
1774430693.9964,37,4224.103,4320.0,4138.462,4142.051,4184.615,0.0
1774430694.0043,38,4233.846,4357.436,4125.128,4135.897,4205.128,0.0
1774430694.0122,39,4221.538,4373.333,4145.128,4128.205,4205.128,0.0
1774430694.0201,40,4220.0,4338.974,4171.282,4136.923,4190.256,0.0
1774430694.0279,41,4217.436,4330.256,4155.897,4144.615,4213.333,0.0
1774430694.0358,42,4211.282,4333.333,4137.949,4139.487,4225.641,0.0
1774430694.0437,43,4227.692,4311.282,4156.923,4147.179,4210.256,0.0
1774430694.0515,44,4216.923,4327.692,4150.769,4145.128,4196.41,0.0
1774430694.0594,45,4196.923,4364.103,4126.667,4126.154,4186.667,0.0
1774430694.0673,46,4243.077,4338.462,4149.744,4142.051,4196.923,0.0
1774430694.0752,47,4260.513,4303.59,4156.41,4170.256,4225.641,0.0
1774430694.083,48,4206.667,4337.949,4127.692,4159.487,4240.0,0.0
1774430694.0909,49,4198.462,4357.436,4132.821,4143.077,4215.897,0.0
1774430694.0987,50,4231.282,4321.026,4153.333,4144.615,4179.487,0.0
1774430694.1066,51,4235.897,4334.872,4148.718,4153.846,4193.333,0.0
1774430694.1144,52,4237.949,4372.308,4160.0,4162.564,4242.051,0.0
1774430694.1224,53,4242.051,4352.308,4186.667,4159.487,4249.231,0.0
1774430694.1302,54,4228.718,4328.718,4164.615,4155.385,4230.256,0.0
1774430694.1381,55,4217.436,4334.872,4139.487,4157.949,4232.308,0.0
1774430694.1459,56,4215.385,4354.872,4176.41,4158.462,4223.077,0.0
1774430694.1538,57,4217.949,4356.923,4203.59,4161.538,4206.154,0.0
1774430694.1617,58,4228.205,4313.846,4181.026,4164.615,4218.974,0.0
1774430694.1695,59,4233.846,4299.487,4165.641,4157.436,4230.769,0.0
1774430694.1775,60,4220.513,4329.231,4178.462,4145.641,4220.513,0.0
1774430694.1853,61,4216.41,4300.0,4189.744,4142.051,4217.436,0.0
1774430694.1931,62,4227.179,4260.0,4175.897,4143.077,4225.641,0.0
1774430694.201,63,4225.641,4288.718,4161.026,4146.667,4218.462,0.0
1774430694.2089,64,4232.821,4297.436,4175.897,4163.59,4211.282,450.0
1774430694.2167,65,4253.846,4289.231,4183.59,4185.641,4238.462,450.0
1774430694.2247,66,4247.179,4314.359,4160.0,4183.59,4264.615,16203.0
1774430694.2325,67,4231.795,4311.282,4166.667,4162.564,4246.154,450.0
1774430694.2404,68,4244.103,4286.667,4193.846,4162.564,4221.538,16178.0
1774430694.2482,69,4249.744,4301.538,4177.436,4181.026,4234.359,450.0
1774430694.256,70,4231.282,4331.795,4157.436,4184.615,4247.179,16148.0
1774430694.2639,71,4234.359,4331.282,4175.385,4169.744,4246.667,450.0
1774430694.2718,72,4260.513,4294.872,4189.231,4167.179,4248.205,450.0
1774430694.2797,73,4265.128,4278.462,4186.667,4180.513,4244.103,16185.0
1774430694.2876,74,4246.154,4313.333,4187.692,4183.077,4236.923,450.0
1774430694.2954,75,4228.205,4330.256,4189.231,4156.923,4218.462,16202.0
1774430694.3032,76,4226.154,4303.077,4195.385,4146.667,4213.333,450.0
1774430694.3111,77,4249.231,4290.256,4188.205,4182.051,4245.641,450.0
1774430694.319,78,4256.923,4295.897,4162.564,4186.154,4252.308,450.0
1774430694.3269,79,4231.282,4292.821,4168.205,4141.538,4225.641,16202.0
1774430694.3349,80,4232.821,4290.256,4193.846,4141.538,4238.974,450.0
1774430694.3428,81,4268.718,4291.282,4204.103,4179.487,4257.949,450.0
1774430694.3506,82,4266.382,4291.51,4200.513,4178.917,4254.131,450.0
1774430694.3584,83,4264.046,4291.738,4196.923,4178.348,4250.313,450.0
1774430694.3662,84,4261.709,4291.966,4193.333,4177.778,4246.496,450.0
1774430694.374,85,4259.373,4292.194,4189.744,4177.208,4242.678,450.0
1774430694.3818,86,4257.037,4292.422,4186.154,4176.638,4238.86,450.0
1774430694.3897,87,4254.701,4292.65,4182.564,4176.068,4235.043,450.0
1774430694.3975,88,4252.365,4292.877,4178.974,4175.499,4231.225,450.0
1774430694.4053,89,4250.028,4293.105,4175.385,4174.929,4227.407,450.0
1774430694.4131,90,4247.692,4293.333,4171.795,4174.359,4223.59,450.0
1774430694.4209,91,4206.154,4302.051,4182.051,4146.154,4205.641,16202.0
1774430694.4286,92,4213.846,4287.179,4197.949,4158.974,4224.103,450.0
1774430694.4365,93,4247.179,4285.641,4192.821,4185.128,4248.718,450.0
1774430694.4442,94,4255.897,4313.846,4185.641,4186.154,4254.359,450.0
1774430694.4519,95,4251.795,4308.718,4191.795,4165.128,4242.051,16202.0
1774430694.4597,96,4252.821,4284.103,4197.949,4150.256,4225.128,450.0
1774430694.4675,97,4273.846,4294.872,4199.487,4174.872,4253.333,450.0
1774430694.4752,98,4280.0,4303.077,4192.821,4195.897,4284.103,450.0
1774430694.4829,99,4252.308,4290.769,4187.692,4171.282,4260.0,16202.0
1774430694.4907,100,4249.231,4292.308,4196.41,4156.41,4242.564,450.0
1774430694.4985,101,4269.231,4291.282,4195.385,4172.821,4250.769,450.0
1774430694.5063,102,4268.205,4285.128,4183.59,4179.487,4246.154,450.0
1774430694.514,103,4253.333,4293.333,4189.231,4164.103,4241.538,16202.0
1774430694.5218,104,4223.077,4287.692,4194.359,4135.385,4229.231,450.0
1774430694.5295,105,4221.026,4281.026,4188.205,4135.385,4225.128,450.0
1774430694.5373,106,4276.41,4294.872,4189.231,4178.462,4264.103,450.0
1774430694.5451,107,4292.308,4295.385,4190.256,4192.308,4281.538,16202.0
1774430694.5529,108,4247.179,4280.0,4184.103,4157.436,4240.0,450.0
1774430694.5606,109,4241.538,4273.846,4193.846,4140.0,4203.59,450.0
1774430694.5684,110,4267.692,4277.436,4203.59,4163.077,4206.154,450.0
1774430694.5761,111,4254.359,4282.051,4186.154,4175.385,4229.744,16202.0
1774430694.5839,112,4243.59,4303.59,4179.487,4164.615,4257.949,450.0
1774430694.5916,113,4265.128,4321.026,4199.487,4165.641,4254.359,450.0
1774430694.5995,114,4276.41,4297.436,4208.205,4171.282,4226.667,450.0
1774430694.6072,115,4268.718,4287.692,4202.564,4169.744,4223.077,16202.0
1774430694.615,116,4260.513,4325.641,4195.385,4180.513,4232.308,450.0
1774430694.6227,117,4268.718,4343.59,4195.385,4198.974,4240.0,450.0
1774430694.6304,118,4280.513,4331.795,4199.487,4195.897,4263.59,450.0
1774430694.6382,119,4274.872,4320.0,4202.564,4169.744,4272.308,16202.0
1774430694.6459,120,4266.154,4294.872,4204.103,4156.41,4237.436,450.0
1774430694.6538,121,4283.077,4283.077,4197.949,4177.949,4218.974,450.0
1774430694.6615,122,4293.846,4306.154,4193.333,4200.0,4245.641,450.0
1774430694.6693,123,4268.205,4321.538,4191.282,4188.718,4269.231,16202.0
1774430694.677,124,4249.231,4324.615,4198.462,4165.128,4252.821,450.0
1774430694.6848,125,4256.923,4340.0,4218.462,4161.538,4226.667,450.0
1774430694.6926,126,4275.897,4337.436,4206.154,4180.513,4241.026,450.0
1774430694.7003,127,4291.282,4329.744,4174.359,4186.154,4268.718,242.0
1774430694.7081,0,4285.128,4363.59,4177.949,4167.179,4261.538,450.0
1774430694.7159,1,4263.077,4391.795,4202.051,4160.0,4246.667,450.0
1774430694.7236,2,4256.41,4370.256,4208.205,4172.308,4244.615,16201.0
1774430694.7314,3,4272.821,4340.513,4195.897,4176.41,4222.564,450.0
1774430694.7391,4,4272.308,4352.821,4184.103,4173.846,4209.744,16174.0
1774430694.7469,5,4253.333,4382.051,4170.256,4169.231,4239.487,450.0
1774430694.7546,6,4249.231,4362.051,4171.282,4151.795,4240.513,16148.0
1774430694.7625,7,4257.949,4322.564,4186.154,4145.128,4213.333,450.0
1774430694.7702,8,4257.949,4316.923,4166.667,4156.923,4223.077,450.0
1774430694.7779,9,4254.359,4334.359,4146.154,4153.846,4244.615,16185.0
1774430694.7857,10,4255.385,4342.051,4176.923,4143.59,4240.513,450.0
1774430694.7935,11,4250.769,4321.538,4200.0,4151.795,4214.359,16195.0
1774430694.8012,12,4253.846,4305.128,4184.103,4160.0,4200.0,450.0
1774430694.8089,13,4264.103,4316.923,4168.718,4155.385,4226.154,450.0
1774430694.8168,14,4251.795,4333.333,4164.103,4145.641,4253.846,450.0
1774430694.8245,15,4241.026,4338.974,4166.154,4133.846,4234.872,16195.0
1774430694.8323,16,4262.564,4347.179,4174.872,4138.462,4204.615,0.0
1774430694.84,17,4276.923,4358.974,4175.897,4160.0,4208.718,0.0
1774430694.8478,18,4257.949,4362.564,4164.615,4160.0,4221.538,0.0
1774430694.8555,19,4242.051,4354.872,4169.744,4140.513,4207.179,0.0
1774430694.8633,20,4253.846,4351.282,4191.282,4151.795,4192.821,0.0
1774430694.8711,21,4263.59,4350.256,4177.949,4168.205,4214.359,0.0
1774430694.8789,22,4253.846,4339.487,4142.051,4147.692,4237.436,0.0
1774430694.8866,23,4258.974,4344.103,4152.821,4138.974,4231.795,0.0
1774430694.8943,24,4266.154,4364.615,4184.103,4150.769,4215.897,0.0
1774430694.9021,25,4266.154,4356.923,4188.718,4154.359,4223.59,0.0
1774430694.9099,26,4284.103,4317.949,4186.154,4167.179,4246.154,0.0
1774430694.9176,27,4277.949,4313.846,4179.487,4174.359,4232.821,0.0
1774430694.9255,28,4238.974,4346.667,4166.667,4153.846,4203.077,0.0
1774430694.9332,29,4237.436,4342.564,4179.487,4142.564,4212.821,0.0
1774430694.941,30,4270.256,4315.897,4205.128,4160.513,4233.333,0.0
1774430694.9487,31,4266.667,4323.077,4183.59,4170.256,4221.538,0.0
1774430694.9565,32,4243.077,4346.667,4140.513,4162.051,4212.821,0.0
1774430694.9642,33,4253.333,4340.513,4151.795,4160.0,4234.872,0.0
1774430694.972,34,4281.538,4333.333,4188.205,4170.769,4237.436,0.0
1774430694.9798,35,4281.538,4352.821,4182.564,4178.974,4209.231,0.0
1774430694.9875,36,4255.385,4373.846,4150.769,4168.205,4203.077,0.0
1774430694.9953,37,4236.41,4372.821,4153.333,4148.205,4228.205,0.0
1774430695.003,38,4238.974,4350.769,4182.564,4143.077,4233.333,0.0
1774430695.0108,39,4255.385,4336.41,4189.744,4151.795,4209.744,0.0
1774430695.0185,40,4269.744,4354.872,4181.538,4155.385,4204.615,0.0
1774430695.0264,41,4255.897,4394.872,4171.795,4149.744,4217.949,0.0
1774430695.0342,42,4235.897,4392.308,4163.077,4152.308,4218.462,0.0
1774430695.0419,43,4258.462,4356.923,4183.59,4169.744,4222.051,0.0
1774430695.0496,44,4286.154,4350.256,4204.615,4182.564,4236.41,0.0
1774430695.0574,45,4273.846,4344.615,4185.641,4175.385,4244.103,0.0
1774430695.0651,46,4250.769,4337.436,4163.59,4161.026,4246.667,0.0
1774430695.0729,47,4236.923,4351.795,4173.846,4151.795,4237.436,0.0
1774430695.0807,48,4243.077,4347.692,4190.256,4150.256,4215.385,0.0
1774430695.0884,49,4271.795,4329.231,4177.949,4155.897,4224.103,0.0
1774430695.0962,50,4267.692,4337.436,4157.436,4152.308,4239.487,0.0
1774430695.104,51,4228.718,4340.0,4164.615,4138.974,4209.744,0.0
1774430695.1117,52,4240.0,4317.436,4185.641,4142.051,4196.41,0.0
1774430695.1194,53,4279.487,4317.949,4191.282,4159.487,4236.41,0.0
1774430695.1272,54,4273.846,4346.154,4180.0,4175.385,4270.769,0.0
1774430695.1351,55,4250.769,4367.179,4171.282,4181.026,4272.308,0.0
1774430695.1428,56,4251.282,4375.897,4181.026,4173.333,4258.974,0.0
1774430695.1506,57,4257.436,4371.795,4196.923,4165.128,4226.154,0.0
1774430695.1583,58,4257.949,4348.205,4197.436,4167.692,4200.513,0.0
1774430695.1661,59,4250.256,4340.513,4185.641,4167.692,4219.487,0.0
1774430695.1738,60,4233.846,4361.026,4186.154,4150.256,4244.103,0.0
1774430695.1816,61,4245.128,4353.333,4204.615,4153.846,4244.615,0.0
1774430695.1894,62,4273.333,4316.41,4203.59,4183.59,4241.538,0.0
1774430695.1972,63,4277.436,4320.0,4181.026,4189.231,4247.179,0.0
1774430695.2049,64,4273.333,4357.436,4182.051,4165.128,4245.128,450.0
1774430695.2126,65,4269.744,4362.564,4204.615,4151.282,4223.077,450.0
1774430695.2204,66,4267.179,4337.436,4207.692,4167.692,4221.026,16218.0
1774430695.2282,67,4273.846,4332.821,4181.538,4190.256,4244.615,450.0
1774430695.2359,68,4272.821,4360.0,4173.333,4189.231,4251.795,16151.0
1774430695.2437,69,4255.897,4366.667,4192.308,4166.154,4231.795,450.0
1774430695.2514,70,4249.231,4330.769,4195.385,4147.692,4208.205,16174.0
1774430695.2592,71,4262.051,4330.769,4191.282,4155.385,4211.795,450.0
1774430695.267,72,4264.103,4385.641,4187.179,4177.949,4231.795,450.0
1774430695.2747,73,4264.103,4422.051,4173.846,4180.0,4247.692,16183.0
1774430695.2825,74,4280.0,4418.974,4175.385,4160.513,4251.282,450.0
1774430695.2902,75,4295.385,4409.231,4195.385,4154.359,4240.0,16187.0
1774430695.2981,76,4293.333,4411.795,4201.538,4161.026,4235.385,450.0
1774430695.3058,77,4290.256,4423.077,4196.923,4173.333,4253.333,450.0
1774430695.3136,78,4284.615,4441.026,4194.872,4187.179,4267.692,450.0
1774430695.3213,79,4269.744,4445.641,4182.051,4187.692,4259.487,16187.0
1774430695.3291,80,4269.231,4430.256,4173.846,4168.205,4250.256,450.0
1774430695.3368,81,4280.0,4425.641,4189.744,4152.821,4241.026,450.0
1774430695.3446,82,4272.308,4423.077,4203.59,4162.051,4226.667,450.0
1774430695.3524,83,4265.641,4403.59,4198.974,4183.59,4241.026,16187.0
1774430695.3602,84,4286.154,4411.282,4190.769,4191.795,4266.154,450.0
1774430695.3679,85,4281.026,4446.667,4178.462,4173.846,4250.256,450.0
1774430695.3756,86,4237.949,4432.308,4168.718,4160.0,4229.744,450.0
1774430695.3834,87,4241.026,4381.026,4181.026,4167.692,4229.231,16187.0
1774430695.3912,88,4279.487,4375.385,4186.667,4173.333,4214.359,450.0
1774430695.3989,89,4276.923,4402.564,4169.231,4171.282,4211.795,450.0
1774430695.4067,90,4249.231,4402.564,4163.077,4167.692,4233.333,450.0
1774430695.4145,91,4243.59,4382.564,4180.513,4164.615,4236.41,16187.0
1774430695.4222,92,4262.051,4395.385,4190.769,4175.385,4241.538,450.0
