Canal,Theta,Theta_rel,Alpha,Alpha_rel,Beta,Beta_rel
AF3,48.40928612637747,0.06954134869339554,40.605391108880255,0.05833082633283711,106.38729757022834,0.15282844984669283
T7,52.499452433472555,0.08897816616950108,49.32541455733277,0.08359868016573105,188.76840340310085,0.3199322199948046
Pz,42.92353373283911,0.09946249747939957,78.54771612114168,0.182010923549255,113.02416213744246,0.2618998126220457
T8,22.29361750368529,0.09140492224133352,27.757727010958828,0.1138080384941313,95.77706121460272,0.3926906358457538
AF4,34.691743638454426,0.06982930843013968,40.31773666440471,0.08115359372202764,120.97287963583977,0.24350037322452572
