time,theta_rel,alpha_rel,beta_rel
0.9978570761159062,0.12412956826223613,0.06543564601783311,0.24336240266392176
1.497099656611681,0.03276028753763587,0.045730335707520865,0.43910139638105883
1.9951707469299436,0.03952950547023172,0.04563578258844056,0.11384571377025333
2.4928375435993075,0.04848685212337597,0.05616493999347003,0.04471628408264989
2.991984810680151,0.03984100452441479,0.050250232403624806,0.07776765355527604
3.4928183993324637,0.03952869584716522,0.06630221935926604,0.40110054049517874
3.995226996950805,0.055155528792683275,0.16478091334249462,0.40526318873350126
4.498545745387673,0.1447269892417835,0.18008029883782248,0.29654179489901233
5.00199496652931,0.10075346201744838,0.09696960733480564,0.25704404112170226
5.504950436763465,0.10180759131133284,0.07461431442917557,0.29399821327283093
6.006290667690337,0.12055387982651546,0.05178031522523805,0.477172058870377
6.505974650382996,0.13171332788116968,0.08837814944243035,0.3239633058367427
7.004011369310319,0.11776491957770982,0.09500462655632301,0.2708730290627107
7.50110082142055,0.1274126600782853,0.12357141243364693,0.2750354720129523
7.99927191901952,0.12730329070324123,0.1253128912473676,0.21482198776866154
8.498628173954785,0.09844255369816786,0.09066731836834765,0.18803245100427093
8.999194579198956,0.1184653047580388,0.2007532353411663,0.201964222011322
9.501191457733512,0.05050625825943977,0.1413080168283996,0.1887672510984135
10.00328208040446,0.06928611847976757,0.09625583246079301,0.22419132541412043
10.504672701470554,0.04690511086004557,0.06586276564323798,0.2908896205525294
11.006432857364416,0.045418237601315414,0.041382270910070816,0.3599585192385643
11.508127781562507,0.09071121146404108,0.08777312117214556,0.2874937636019733
12.010271141305566,0.12954232313321912,0.17352032938541748,0.28235945191741624
12.513604348525405,0.07114802750099376,0.17276963630556968,0.4120568164062156
13.017027787864208,0.08938069331851835,0.2519565995884298,0.307987949869745
13.520485203713179,0.06853249113814276,0.3497334378568606,0.26013034978996263
14.023588323965669,0.05769630496728034,0.45400479928220416,0.21830323713474487
14.525130120106041,0.1462280313645585,0.4332630898090947,0.18535751155261457
15.02498128823936,0.17106443732810642,0.322892738092779,0.17089601862515216
15.523183633573353,0.07517091184348787,0.3377684244277176,0.18794718607377345
16.020071136765182,0.12319697066323383,0.20475125159921298,0.255978523264179
16.516874259337783,0.1006325008136052,0.2973717531061024,0.27120192544940186
17.013839493505657,0.12602481411057034,0.23276284403135905,0.28477889905319076
17.510872311890125,0.29143623538954816,0.13099858667183406,0.27634296580332923
18.009002782404423,0.22794309622273085,0.22689572379395428,0.24465096409158432
18.5087637193501,0.053772505640733166,0.2646535382151947,0.3171896477030535
19.008951611816883,0.0837111210086455,0.2619167225176156,0.30509061592795533
19.50906879734248,0.0530151605107179,0.4045976198398945,0.23525031286880166
20.00821840018034,0.034090269481150945,0.5538136680913762,0.11405548920269708
20.506925432011485,0.07614855175966931,0.5844560918974555,0.09515990508052413
21.006753948517144,0.023125380404735423,0.5359377826727565,0.24179714759099724
21.508264493197203,0.021660922318767966,0.346824428935634,0.42645625307059715
22.011315672658384,0.08269225215876344,0.38163146093906936,0.3199191585700666
22.514820749871433,0.178019014435857,0.1888900483892436,0.16490290128054164
23.018293796107173,0.10544194926215,0.08660948875310485,0.22272140374513527
23.521754344925284,0.01610629367191752,0.061927736846982426,0.34151588172004954
24.02518949843943,0.02190211106981841,0.03771012775008834,0.5188978962185188
24.528489892371,0.14679726592094322,0.05177274950268274,0.3812564563961027
25.030841453000903,0.16354587100042928,0.11075665642296088,0.22994874101198978
25.531531686894596,0.42242898470482676,0.06535016743856499,0.2922024417576779
26.030570353381336,0.3959775554095244,0.05577388182156611,0.25665010301035246
26.528050042688847,0.17827614284484933,0.13009775922822286,0.29134382112935314
27.02500902209431,0.13904080602402225,0.1309037567179216,0.34372788936589965
27.523166053928435,0.17639636289856592,0.08030207047752853,0.29079025925636687
28.02298871334642,0.12228319756601476,0.02452491056629666,0.39174886267989567
28.524495348334312,0.04392444280752043,0.0640315462407852,0.5402730721217494
29.026766841299832,0.040339675343128385,0.0963156519131586,0.4846705333866687
29.527844180352986,0.06881274952469069,0.05001527920035944,0.48537178562655925
30.027256683446467,0.08544846940358276,0.07834404273656981,0.5770502154218619
30.525009809061885,0.1226536677737966,0.09834967337627118,0.5723929749643796
31.021815666928887,0.2841587651191679,0.04952017082906037,0.4081369220477512
31.519577386789024,0.14311991229332835,0.03350956112654814,0.42259122454551573
32.01863910257816,0.06355175780672376,0.10457503393502222,0.5044090986072219
32.51890355814248,0.08234479229472293,0.1551729826510334,0.45031164408161867
