timestamp,AF3,T7,Pz,T8,AF4,AF3_theta,AF3_alpha,AF3_beta,T7_theta,T7_mu,T7_beta,Pz_alpha,Pz_beta,T8_theta,T8_mu,T8_beta,AF4_theta,AF4_alpha,AF4_beta
0,4229.744,4189.231,4075.897,4123.59,4198.462,0.18132299213409506,0.0860677801254869,0.23529006283122805,0.12835327390024476,0.1288862802858174,0.27061623619640773,0.13352909998992565,0.2893092883882829,0.12785923842572924,0.1592858090967444,0.20822476579135987,0.1852866341484105,0.11365152812995556,0.2049582301432493
7,4237.436,4200.0,4070.769,4139.487,4214.359,0.18132299213409506,0.0860677801254869,0.23529006283122805,0.12835327390024476,0.1288862802858174,0.27061623619640773,0.13352909998992565,0.2893092883882829,0.12785923842572924,0.1592858090967444,0.20822476579135987,0.1852866341484105,0.11365152812995556,0.2049582301432493
14,4222.564,4218.462,4064.615,4136.41,4217.436,0.18132299213409506,0.0860677801254869,0.23529006283122805,0.12835327390024476,0.1288862802858174,0.27061623619640773,0.13352909998992565,0.2893092883882829,0.12785923842572924,0.1592858090967444,0.20822476579135987,0.1852866341484105,0.11365152812995556,0.2049582301432493
21,4220.0,4206.667,4085.641,4108.205,4201.538,0.18132299213409506,0.0860677801254869,0.23529006283122805,0.12835327390024476,0.1288862802858174,0.27061623619640773,0.13352909998992565,0.2893092883882829,0.12785923842572924,0.1592858090967444,0.20822476579135987,0.1852866341484105,0.11365152812995556,0.2049582301432493
28,4236.41,4194.872,4100.513,4104.103,4188.718,0.18132299213409506,0.0860677801254869,0.23529006283122805,0.12835327390024476,0.1288862802858174,0.27061623619640773,0.13352909998992565,0.2893092883882829,0.12785923842572924,0.1592858090967444,0.20822476579135987,0.1852866341484105,0.11365152812995556,0.2049582301432493
35,4233.846,4198.974,4082.051,4114.872,4182.564,0.18132299213409506,0.0860677801254869,0.23529006283122805,0.12835327390024476,0.1288862802858174,0.27061623619640773,0.13352909998992565,0.2893092883882829,0.12785923842572924,0.1592858090967444,0.20822476579135987,0.1852866341484105,0.11365152812995556,0.2049582301432493
42,4213.333,4202.051,4081.026,4109.231,4184.615,0.18132299213409506,0.0860677801254869,0.23529006283122805,0.12835327390024476,0.1288862802858174,0.27061623619640773,0.13352909998992565,0.2893092883882829,0.12785923842572924,0.1592858090967444,0.20822476579135987,0.1852866341484105,0.11365152812995556,0.2049582301432493
49,4209.744,4193.846,4095.897,4111.795,4191.282,0.18132299213409506,0.0860677801254869,0.23529006283122805,0.12835327390024476,0.1288862802858174,0.27061623619640773,0.13352909998992565,0.2893092883882829,0.12785923842572924,0.1592858090967444,0.20822476579135987,0.1852866341484105,0.11365152812995556,0.2049582301432493
56,4228.718,4182.564,4083.077,4137.436,4203.077,0.18132299213409506,0.0860677801254869,0.23529006283122805,0.12835327390024476,0.1288862802858174,0.27061623619640773,0.13352909998992565,0.2893092883882829,0.12785923842572924,0.1592858090967444,0.20822476579135987,0.1852866341484105,0.11365152812995556,0.2049582301432493
63,4236.41,4200.0,4078.462,4161.538,4228.718,0.18132299213409506,0.0860677801254869,0.23529006283122805,0.12835327390024476,0.1288862802858174,0.27061623619640773,0.13352909998992565,0.2893092883882829,0.12785923842572924,0.1592858090967444,0.20822476579135987,0.1852866341484105,0.11365152812995556,0.2049582301432493
