timestamp,AF3,T7,Pz,T8,AF4,AF3_theta,AF3_alpha,AF3_beta,T7_theta,T7_mu,T7_beta,Pz_alpha,Pz_beta,T8_theta,T8_mu,T8_beta,AF4_theta,AF4_alpha,AF4_beta
0,4221.538,4240.513,4131.282,4138.462,4254.872,0.16284678940341835,0.06556044909744987,0.13451643741593228,0.1995439641791511,0.10353220710395253,0.12348816015943924,0.09247037674740095,0.17498018219404396,0.18258787511625385,0.06034699172555766,0.1416515251365977,0.13157143471610044,0.07609813312963308,0.15389240647309801
7,4208.205,4235.385,4133.333,4130.769,4255.897,0.16284678940341835,0.06556044909744987,0.13451643741593228,0.1995439641791511,0.10353220710395253,0.12348816015943924,0.09247037674740095,0.17498018219404396,0.18258787511625385,0.06034699172555766,0.1416515251365977,0.13157143471610044,0.07609813312963308,0.15389240647309801
14,4190.256,4236.41,4112.821,4118.462,4254.872,0.16284678940341835,0.06556044909744987,0.13451643741593228,0.1995439641791511,0.10353220710395253,0.12348816015943924,0.09247037674740095,0.17498018219404396,0.18258787511625385,0.06034699172555766,0.1416515251365977,0.13157143471610044,0.07609813312963308,0.15389240647309801
21,4175.385,4221.026,4078.974,4104.103,4217.949,0.16284678940341835,0.06556044909744987,0.13451643741593228,0.1995439641791511,0.10353220710395253,0.12348816015943924,0.09247037674740095,0.17498018219404396,0.18258787511625385,0.06034699172555766,0.1416515251365977,0.13157143471610044,0.07609813312963308,0.15389240647309801
28,4180.513,4218.974,4085.641,4104.615,4189.231,0.16284678940341835,0.06556044909744987,0.13451643741593228,0.1995439641791511,0.10353220710395253,0.12348816015943924,0.09247037674740095,0.17498018219404396,0.18258787511625385,0.06034699172555766,0.1416515251365977,0.13157143471610044,0.07609813312963308,0.15389240647309801
35,4203.077,4234.359,4118.462,4117.949,4204.103,0.16284678940341835,0.06556044909744987,0.13451643741593228,0.1995439641791511,0.10353220710395253,0.12348816015943924,0.09247037674740095,0.17498018219404396,0.18258787511625385,0.06034699172555766,0.1416515251365977,0.13157143471610044,0.07609813312963308,0.15389240647309801
42,4203.59,4240.0,4121.538,4114.872,4217.436,0.16284678940341835,0.06556044909744987,0.13451643741593228,0.1995439641791511,0.10353220710395253,0.12348816015943924,0.09247037674740095,0.17498018219404396,0.18258787511625385,0.06034699172555766,0.1416515251365977,0.13157143471610044,0.07609813312963308,0.15389240647309801
49,4198.974,4233.846,4112.821,4112.308,4219.487,0.16284678940341835,0.06556044909744987,0.13451643741593228,0.1995439641791511,0.10353220710395253,0.12348816015943924,0.09247037674740095,0.17498018219404396,0.18258787511625385,0.06034699172555766,0.1416515251365977,0.13157143471610044,0.07609813312963308,0.15389240647309801
56,4207.692,4230.769,4111.282,4114.872,4214.872,0.16284678940341835,0.06556044909744987,0.13451643741593228,0.1995439641791511,0.10353220710395253,0.12348816015943924,0.09247037674740095,0.17498018219404396,0.18258787511625385,0.06034699172555766,0.1416515251365977,0.13157143471610044,0.07609813312963308,0.15389240647309801
63,4201.538,4219.487,4095.897,4106.667,4176.41,0.16284678940341835,0.06556044909744987,0.13451643741593228,0.1995439641791511,0.10353220710395253,0.12348816015943924,0.09247037674740095,0.17498018219404396,0.18258787511625385,0.06034699172555766,0.1416515251365977,0.13157143471610044,0.07609813312963308,0.15389240647309801
