timestamp,AF3,T7,Pz,T8,AF4,AF3_theta,AF3_alpha,AF3_beta,T7_theta,T7_mu,T7_beta,Pz_alpha,Pz_beta,T8_theta,T8_mu,T8_beta,AF4_theta,AF4_alpha,AF4_beta
0,4177.949,4173.846,4144.615,4064.103,4134.872,0.12559908516052706,0.03251870156342799,0.015094669975158174,0.12973481550515442,0.03523492491643308,0.017321693024450666,0.03581899878620224,0.017069418353921336,0.1330229746870206,0.03581321128895312,0.015533040898807008,0.12939281349150408,0.03476143917616603,0.01441297699472252
7,4185.641,4194.359,4133.333,4074.872,4160.0,0.12559908516052706,0.03251870156342799,0.015094669975158174,0.12973481550515442,0.03523492491643308,0.017321693024450666,0.03581899878620224,0.017069418353921336,0.1330229746870206,0.03581321128895312,0.015533040898807008,0.12939281349150408,0.03476143917616603,0.01441297699472252
14,4156.923,4174.359,4129.744,4031.282,4129.231,0.12559908516052706,0.03251870156342799,0.015094669975158174,0.12973481550515442,0.03523492491643308,0.017321693024450666,0.03581899878620224,0.017069418353921336,0.1330229746870206,0.03581321128895312,0.015533040898807008,0.12939281349150408,0.03476143917616603,0.01441297699472252
21,4127.179,4143.077,4129.231,3982.564,4062.564,0.12559908516052706,0.03251870156342799,0.015094669975158174,0.12973481550515442,0.03523492491643308,0.017321693024450666,0.03581899878620224,0.017069418353921336,0.1330229746870206,0.03581321128895312,0.015533040898807008,0.12939281349150408,0.03476143917616603,0.01441297699472252
28,4129.231,4148.718,4110.256,3995.385,4057.949,0.12559908516052706,0.03251870156342799,0.015094669975158174,0.12973481550515442,0.03523492491643308,0.017321693024450666,0.03581899878620224,0.017069418353921336,0.1330229746870206,0.03581321128895312,0.015533040898807008,0.12939281349150408,0.03476143917616603,0.01441297699472252
35,4151.795,4170.769,4104.103,4015.385,4117.949,0.12559908516052706,0.03251870156342799,0.015094669975158174,0.12973481550515442,0.03523492491643308,0.017321693024450666,0.03581899878620224,0.017069418353921336,0.1330229746870206,0.03581321128895312,0.015533040898807008,0.12939281349150408,0.03476143917616603,0.01441297699472252
42,4159.487,4180.0,4117.949,4010.769,4154.872,0.12559908516052706,0.03251870156342799,0.015094669975158174,0.12973481550515442,0.03523492491643308,0.017321693024450666,0.03581899878620224,0.017069418353921336,0.1330229746870206,0.03581321128895312,0.015533040898807008,0.12939281349150408,0.03476143917616603,0.01441297699472252
49,4181.026,4167.692,4131.795,4023.59,4148.718,0.12559908516052706,0.03251870156342799,0.015094669975158174,0.12973481550515442,0.03523492491643308,0.017321693024450666,0.03581899878620224,0.017069418353921336,0.1330229746870206,0.03581321128895312,0.015533040898807008,0.12939281349150408,0.03476143917616603,0.01441297699472252
56,4230.256,4173.333,4152.821,4065.641,4170.769,0.12559908516052706,0.03251870156342799,0.015094669975158174,0.12973481550515442,0.03523492491643308,0.017321693024450666,0.03581899878620224,0.017069418353921336,0.1330229746870206,0.03581321128895312,0.015533040898807008,0.12939281349150408,0.03476143917616603,0.01441297699472252
63,4263.59,4212.821,4181.026,4100.0,4222.564,0.12559908516052706,0.03251870156342799,0.015094669975158174,0.12973481550515442,0.03523492491643308,0.017321693024450666,0.03581899878620224,0.017069418353921336,0.1330229746870206,0.03581321128895312,0.015533040898807008,0.12939281349150408,0.03476143917616603,0.01441297699472252
